feature,importance
age_group_Elderly,0.00016211216985693118
age_group_Young,0.0001582793343041521
track_Viaducto-Oriental,0.0001569032806972339
conditions_risk_muddy_clear,0.00015616440551501952
vehicle_type_Car,0.00015419295627687484
road_conditions_Icy,0.00014813682158377694
accident_severity_Critical,0.0001464133678419851
accident_severity_MINOR,0.00014567377885500168
year,0.00014116984731481203
season_Spring,0.00013674490155936932
driver_gender_Male,0.00013206355304347885
weather_conditions_Fog,0.00013203028138212376
conditions_risk_Icy_Sunny,0.0001316384779045286
accident_severity_serious,0.00012409680725574153
conditions_risk_Wet_snow,0.00012026566430038376
is_senior,0.0001053237257712037
age_group_Adult,0.00010206451420490915
vehicle_type_Truck,0.00010170634753924892
vehicle_type_Sedan,9.882374596058105e-05
road_conditions_Dry,9.730008433964747e-05
vehicle_type_SUV,9.607875573705095e-05
vehicle_make_Ford,9.590056338367085e-05
day_of_week_Tuesday,9.341389404019293e-05
track_Route-2,8.884613879321644e-05
day_of_week_Friday,8.783848312953443e-05
vehicle_make_Chevrolet,8.777255856180945e-05
vehicle_type_Pickup,8.675198970795748e-05
weather_conditions_Sunny,8.670317631804998e-05
vehicle_make_Hyundai,8.494987617980043e-05
conditions_risk_DRY_Windy,8.19286115945669e-05
weather_conditions_rain,8.023945199443101e-05
track_MX-40,8.021060619790179e-05
road_conditions_wet,7.812679857836826e-05
track_Highway-85,7.196456562547178e-05
season_Fall,7.081316990970069e-05
conditions_risk_dry_Storm,6.997299159779296e-05
conditions_risk_Wet_Windy,6.933238712178216e-05
road_conditions_muddy,6.748085400507877e-05
conditions_risk_Wet_windy,6.726026136059262e-05
weather_conditions_fog,6.540896286920849e-05
vehicle_make_Toyota,6.393115930684207e-05
vehicle_type_Van,6.116883812008904e-05
conditions_risk_Dry_rain,6.103304470567596e-05
weather_conditions_Windy,5.926805168386287e-05
track_Circuito-Interior,5.765007125040205e-05
vehicle_model_Model B,5.753625821832208e-05
season_Winter,5.7311026140421845e-05
track_Route-3,5.7021173202434066e-05
accident_severity_Serious,5.668953922354102e-05
vehicle_make_Audi,5.5002456572128784e-05
vehicle_model_Model G,5.4893213674540624e-05
weather_conditions_sunny,5.287512947164089e-05
is_young,5.1257838411303085e-05
road_conditions_dry,4.8856344134921183e-05
conditions_risk_muddy_cloudy,4.806886097297552e-05
accident_severity_Minor,4.444000541662207e-05
conditions_risk_Wet_clear,4.411373092553136e-05
weather_conditions_Cloudy,4.323827118750762e-05
conditions_risk_WET_snow,4.296511304562936e-05
vehicle_make_Mercedes,4.287801346385094e-05
vehicle_model_Model H,4.238901412471049e-05
conditions_risk_Wet_Storm,3.9710474797565275e-05
conditions_risk_WET_sunny,3.517641337876413e-05
conditions_risk_DRY_Snow,3.308078359596757e-05
vehicle_make_Honda,3.2573834215115465e-05
track_MX-85,3.0342655893590378e-05
track_Carretera-45,2.6895833349891158e-05
conditions_risk_Wet_Sunny,2.623062039355785e-05
vehicle_make_Nissan,2.2682061153323847e-05
conditions_risk_wet_fog,2.2337023259946696e-05
road_conditions_DRY,2.202835745458331e-05
conditions_risk_Muddy_Cloudy,2.1854218429723078e-05
vehicle_type_Bus,2.1730246621178e-05
track_Autopista-2,2.170363114288281e-05
track_Corredor-Industrial,1.823681211646058e-05
vehicle_type_Motorcycle,1.790426208451157e-05
conditions_risk_Muddy_fog,1.761694547519153e-05
conditions_risk_DRY_sunny,1.6627724201759022e-05
track_Ruta-Centro,1.477152419390842e-05
conditions_risk_icy_storm,1.2155740172710493e-05
day_of_week_Thursday,1.1961801289176002e-05
track_Highway-57,1.1730471716210761e-05
day_of_week_Wednesday,9.77134089794561e-06
accident_severity_SERIOUS,9.686341269637095e-06
track_Ruta-Litoral,9.602823423666976e-06
conditions_risk_wet_Rain,9.099488988718283e-06
conditions_risk_Dry_clear,8.915722583630648e-06
conditions_risk_Wet_rain,8.279054420944596e-06
weather_conditions_storm,8.121524499726912e-06
conditions_risk_Dry_Rain,4.958796207653135e-06
is_weekend,4.612080641655999e-06
conditions_risk_Dry_Storm,4.456803098683093e-06
day_of_week_Monday,4.153090975360077e-06
conditions_risk_dry_Sunny,4.0983278490295055e-06
road_conditions_icy,3.917029270877394e-06
weather_conditions_cloudy,3.498446573413831e-06
conditions_risk_DRY_Storm,3.369174710771473e-06
weather_conditions_Snow,2.580969578928122e-06
weather_conditions_Rain,2.466259197881694e-06
conditions_risk_Muddy_Windy,2.3690804861729045e-06
conditions_risk_Icy_sunny,2.33956840255622e-06
road_conditions_ICY,2.0956839906676698e-06
conditions_risk_DRY_fog,1.9858140320812705e-06
day_of_week_Saturday,1.7304218035023356e-06
conditions_risk_muddy_sunny,1.6604981064786064e-06
conditions_risk_Dry_Windy,1.6147091417112578e-06
conditions_risk_muddy_windy,1.2809141013018445e-06
conditions_risk_Icy_Clear,1.2662357210676164e-06
conditions_risk_Dry_windy,1.2129090743542895e-06
conditions_risk_muddy_Cloudy,1.1816884092847723e-06
conditions_risk_Icy_Storm,1.07066559172398e-06
conditions_risk_Muddy_Sunny,9.982470630933294e-07
conditions_risk_Dry_Snow,9.216293623718376e-07
conditions_risk_ICY_sunny,8.979163113950215e-07
conditions_risk_ICY_fog,8.959734140919166e-07
conditions_risk_ICY_Windy,7.990891509929001e-07
conditions_risk_ICY_Clear,7.490435828245519e-07
conditions_risk_wet_Snow,7.345418281523478e-07
track_Periferico-Sur,7.258311280967628e-07
conditions_risk_muddy_Sunny,6.477916110093682e-07
conditions_risk_dry_clear,6.453724050997842e-07
conditions_risk_dry_Snow,6.208740903346632e-07
conditions_risk_Icy_Rain,6.159983937251796e-07
conditions_risk_wet_Storm,6.069687426242357e-07
conditions_risk_dry_fog,5.877826644474027e-07
conditions_risk_DRY_snow,5.663879742122368e-07
conditions_risk_WET_windy,5.631815599817345e-07
conditions_risk_dry_Fog,4.881155362644993e-07
conditions_risk_muddy_Rain,4.7227753316492366e-07
conditions_risk_icy_Cloudy,4.3760018385376784e-07
conditions_risk_Icy_cloudy,3.6143211302186347e-07
conditions_risk_icy_fog,3.42392112156495e-07
conditions_risk_muddy_Windy,3.3876877464129776e-07
track_Ring-Road,3.172870059147198e-07
conditions_risk_muddy_Storm,3.043128178061778e-07
conditions_risk_dry_Rain,3.0151662702835163e-07
conditions_risk_Muddy_cloudy,2.9691332163776224e-07
conditions_risk_Dry_fog,2.9241162033392374e-07
conditions_risk_icy_Storm,2.913068240053529e-07
conditions_risk_Dry_sunny,2.8598499131555606e-07
conditions_risk_ICY_clear,2.6354059422732154e-07
conditions_risk_Dry_cloudy,2.3011208343157589e-07
conditions_risk_muddy_rain,1.7389394659027452e-07
conditions_risk_wet_Windy,0.0
conditions_risk_wet_clear,0.0
conditions_risk_muddy_fog,0.0
conditions_risk_icy_cloudy,0.0
conditions_risk_muddy_snow,0.0
conditions_risk_dry_Cloudy,0.0
conditions_risk_dry_Windy,0.0
conditions_risk_wet_cloudy,0.0
conditions_risk_wet_storm,0.0
conditions_risk_wet_Cloudy,0.0
conditions_risk_dry_Clear,0.0
conditions_risk_wet_Fog,0.0
conditions_risk_muddy_Snow,0.0
conditions_risk_Wet_sunny,0.0
conditions_risk_icy_clear,0.0
conditions_risk_icy_Windy,0.0
conditions_risk_icy_rain,0.0
conditions_risk_icy_snow,0.0
conditions_risk_icy_sunny,0.0
conditions_risk_icy_Snow,0.0
conditions_risk_icy_Rain,0.0
conditions_risk_icy_Fog,0.0
conditions_risk_wet_snow,0.0
conditions_risk_icy_Clear,0.0
conditions_risk_wet_Sunny,0.0
conditions_risk_muddy_Clear,0.0
conditions_risk_dry_sunny,0.0
conditions_risk_dry_storm,0.0
conditions_risk_dry_snow,0.0
conditions_risk_dry_rain,0.0
conditions_risk_muddy_Fog,0.0
conditions_risk_dry_cloudy,0.0
conditions_risk_wet_Clear,0.0
conditions_risk_ICY_Sunny,0.0
conditions_risk_Wet_storm,0.0
conditions_risk_Dry_Fog,0.0
conditions_risk_Icy_Fog,0.0
conditions_risk_Icy_Cloudy,0.0
conditions_risk_ICY_windy,0.0
conditions_risk_ICY_storm,0.0
conditions_risk_ICY_snow,0.0
conditions_risk_ICY_rain,0.0
conditions_risk_ICY_cloudy,0.0
conditions_risk_ICY_Storm,0.0
conditions_risk_ICY_Snow,0.0
conditions_risk_ICY_Rain,0.0
conditions_risk_ICY_Fog,0.0
conditions_risk_ICY_Cloudy,0.0
conditions_risk_Dry_snow,0.0
conditions_risk_Dry_Sunny,0.0
conditions_risk_Dry_Cloudy,0.0
conditions_risk_Wet_fog,0.0
conditions_risk_Dry_Clear,0.0
conditions_risk_DRY_windy,0.0
conditions_risk_DRY_storm,0.0
conditions_risk_DRY_cloudy,0.0
conditions_risk_DRY_clear,0.0
conditions_risk_DRY_Sunny,0.0
conditions_risk_DRY_Rain,0.0
conditions_risk_DRY_Fog,0.0
conditions_risk_DRY_Cloudy,0.0
conditions_risk_DRY_Clear,0.0
day_of_week_Sunday,0.0
is_month_end,0.0
weather_conditions_Clear,0.0
is_high_risk_conditions,0.0
conditions_risk_Icy_Snow,0.0
conditions_risk_Icy_Windy,0.0
conditions_risk_Icy_fog,0.0
conditions_risk_Icy_rain,0.0
conditions_risk_Wet_cloudy,0.0
conditions_risk_Wet_Snow,0.0
conditions_risk_Wet_Rain,0.0
conditions_risk_Wet_Clear,0.0
conditions_risk_WET_storm,0.0
conditions_risk_WET_rain,0.0
conditions_risk_WET_fog,0.0
conditions_risk_WET_cloudy,0.0
conditions_risk_WET_Windy,0.0
conditions_risk_WET_Sunny,0.0
conditions_risk_WET_Storm,0.0
conditions_risk_WET_Snow,0.0
conditions_risk_WET_Rain,0.0
conditions_risk_WET_Fog,0.0
conditions_risk_WET_Cloudy,0.0
conditions_risk_WET_Clear,0.0
conditions_risk_Muddy_sunny,0.0
conditions_risk_Muddy_storm,0.0
conditions_risk_Muddy_snow,0.0
conditions_risk_Muddy_rain,0.0
conditions_risk_Muddy_clear,0.0
conditions_risk_Muddy_Storm,0.0
conditions_risk_Muddy_Snow,0.0
conditions_risk_Muddy_Rain,0.0
conditions_risk_Muddy_Fog,0.0
conditions_risk_Muddy_Clear,0.0
conditions_risk_Icy_windy,0.0
conditions_risk_Icy_storm,0.0
conditions_risk_Icy_snow,0.0
conditions_risk_Dry_storm,0.0
