accident_key,incident_id,incident_date,day_of_week,month,year,quarter,driver_age,driver_gender,road_conditions,weather_conditions,track,vehicle_type,vehicle_make,vehicle_model,accident_severity,number_of_vehicles,number_of_fatalities,is_weekend,season,age_group
131,131,20/10/2021,,,,,36.0,Other,Dry,Windy,Route-2,SUV,Nissan,Model G,serious,5,1,False,,Middle-aged
132,132,02/24/2024,,,,,35.0,Other,WET,Rain,Carretera-45,Pickup,Toyota,Model G,serious,1,4,False,,Adult
133,133,10/04/2024,,,,,49.0,Female,Wet,snow,Ring-Road,Van,Nissan,Model A,MINOR,4,1,False,,Middle-aged
134,134,11/10/2021,,,,,32.0,Female,dry,fog,Route-1,Motorcycle,Honda,Model C,critical,2,1,False,,Adult
135,135,07/04/2021,,,,,,Female,ICY,storm,Ruta-Centro,Bus,Toyota,Model H,minor,6,4,False,,
136,136,24/11/2021,,,,,65.0,Other,Dry,Rain,Highway-85,Motorcycle,Honda,Model C,Serious,5,5,False,,Senior
137,137,05/11/2021,,,,,51.0,Other,DRY,Snow,Highway-85,SUV,Ford,Model H,MINOR,4,0,False,,Senior
138,138,05/30/2022,,,,,55.0,Male,WET,Windy,Corredor-Industrial,Car,Audi,Model A,Minor,1,3,False,,Senior
139,139,08/23/2021,,,,,19.0,Other,Wet,Rain,Ring-Road,Van,Volkswagen,Model F,SERIOUS,1,5,False,,Young
140,140,05/08/2024,,,,,53.0,Female,dry,windy,Highway-85,Car,Chevrolet,Model C,SERIOUS,3,3,False,,Senior
141,141,11-20-2021,,,,,,Female,Dry,clear,Ring-Road,Car,Volkswagen,Model B,Minor,3,1,False,,
142,142,06/24/2022,,,,,31.0,Female,WET,Rain,Periferico-Sur,Motorcycle,Honda,Model E,Minor,7,3,False,,Adult
143,143,06/08/2021,,,,,50.0,Female,dry,snow,Route-3,Motorcycle,Ford,Model B,serious,2,4,False,,Middle-aged
144,144,01/08/2024,,,,,44.0,Male,icy,Clear,Highway-85,Sedan,Volkswagen,Model E,Minor,8,4,False,,Middle-aged
145,145,02-05-2023,,,,,52.0,Other,Wet,fog,Circuito-Interior,SUV,Toyota,Model D,minor,4,16,False,,Senior
146,146,12/23/2023,,,,,,Other,Dry,Cloudy,Highway-85,Sedan,Volkswagen,Model H,Minor,4,3,False,,
147,147,08-18-2021,,,,,68.0,Male,wet,cloudy,Route-2,Pickup,Volkswagen,Model G,serious,8,3,False,,Elderly
148,148,2022-09-22,Thursday,9.0,2022.0,3.0,,Female,icy,fog,Autopista-2,Bus,Audi,Model A,critical,7,2,False,Fall,
149,149,05/09/2022,,,,,,Female,ICY,sunny,Route-1,Sedan,Audi,Model F,serious,6,4,False,,
150,150,09/23/2023,,,,,79.0,Male,wet,Fog,Ring-Road,Truck,Volkswagen,Model B,Serious,6,4,False,,Elderly
151,151,2021-09-15,Wednesday,9.0,2021.0,3.0,,Other,WET,Cloudy,Route-2,SUV,Volkswagen,Model B,CRITICAL,7,5,False,Fall,
152,152,01/09/2023,,,,,,Female,wet,windy,Bypass-Norte,Motorcycle,BMW,Model E,serious,6,4,False,,
153,153,17/12/2023,,,,,,Female,dry,Cloudy,Periferico-Sur,Van,Ford,Model F,Minor,3,19,False,,
154,154,03-10-2022,,,,,80.0,Female,DRY,sunny,Carretera-45,Car,Hyundai,Model A,minor,4,1,False,,Elderly
155,155,12/31/2024,,,,,54.0,Female,Icy,sunny,Circuito-Interior,Truck,Chevrolet,Model H,CRITICAL,7,4,False,,Senior
156,156,06/17/2023,,,,,,Other,Wet,Clear,Autopista-1,Motorcycle,Hyundai,Model B,Critical,4,1,False,,
157,157,05/12/2021,,,,,,Other,dry,windy,Circuito-Interior,Truck,Nissan,Model D,Critical,8,4,False,,
158,158,2022-03-28,Monday,3.0,2022.0,1.0,,Female,Dry,Storm,Route-2,Van,Nissan,Model D,Serious,1,3,False,Spring,
159,159,20/12/2024,,,,,26.0,Other,Dry,cloudy,Bypass-Norte,Van,BMW,Model H,CRITICAL,3,2,False,,Adult
160,160,06/03/2021,,,,,,Male,Muddy,snow,Highway-57,Bus,Chevrolet,Model D,Minor,5,3,False,,
161,161,05/03/2022,,,,,69.0,Female,DRY,snow,Circuito-Interior,Bus,Honda,Model F,minor,3,0,False,,Elderly
162,162,15/03/2024,,,,,,Male,Icy,Windy,MX-85,Truck,Honda,Model E,MINOR,7,1,False,,
163,163,27/08/2023,,,,,19.0,Female,icy,sunny,Route-2,Car,Ford,Model E,MINOR,5,2,False,,Young
164,164,18/07/2021,,,,,20.0,Female,ICY,sunny,Periferico-Sur,Van,Honda,Model B,Critical,1,4,False,,Young
165,165,04-22-2023,,,,,,Other,ICY,Sunny,Ruta-Del-Sol,Pickup,BMW,Model E,Minor,7,10,False,,
166,166,2024-08-16,Friday,8.0,2024.0,3.0,,Male,muddy,fog,Route-3,Motorcycle,Ford,Model G,minor,2,5,False,Summer,
167,167,04/05/2023,,,,,34.0,Male,icy,clear,Carretera-45,SUV,Nissan,Model B,CRITICAL,4,2,False,,Adult
168,168,2022-01-28,Friday,1.0,2022.0,1.0,,Other,WET,Clear,Route-3,Car,Ford,Model H,critical,1,3,False,Winter,
169,169,2023-07-08,Saturday,7.0,2023.0,3.0,,Male,DRY,Clear,Autopista-2,Van,Chevrolet,Model C,CRITICAL,4,3,True,Summer,
170,170,11/01/2022,,,,,,Female,DRY,Cloudy,Route-3,Bus,Audi,Model C,CRITICAL,6,4,False,,
171,171,06/04/2021,,,,,121.0,Female,Muddy,Storm,Route-1,Bus,Volkswagen,Model G,MINOR,2,4,False,,
172,172,04/14/2021,,,,,61.0,Male,wet,sunny,MX-85,SUV,Audi,Model B,serious,2,1,False,,Senior
173,173,07/11/2021,,,,,35.0,Female,WET,Storm,Route-2,Bus,Chevrolet,Model B,Minor,1,2,False,,Adult
174,174,09-22-2023,,,,,74.0,Other,Dry,Fog,Route-2,Truck,Audi,Model C,SERIOUS,2,2,False,,Elderly
175,175,12/04/2021,,,,,79.0,Male,dry,cloudy,Viaducto-Oriental,Bus,Hyundai,Model B,CRITICAL,5,4,False,,Elderly
176,176,07-21-2023,,,,,,Female,Wet,Storm,MX-85,Truck,Honda,Model E,CRITICAL,2,0,False,,
177,177,02/13/2024,,,,,,Male,ICY,rain,Carretera-45,Motorcycle,Chevrolet,Model G,Minor,4,2,False,,
178,178,03/22/2022,,,,,33.0,Female,Dry,rain,Route-1,Sedan,Hyundai,Model G,Critical,4,0,False,,Adult
179,179,2022-10-05,Wednesday,10.0,2022.0,4.0,,Male,icy,Sunny,Corredor-Industrial,Van,Nissan,Model C,MINOR,7,5,False,Fall,
180,180,04/11/2024,,,,,,Female,dry,rain,Highway-85,Car,Chevrolet,Model C,critical,4,0,False,,
181,181,27/04/2021,,,,,71.0,Other,muddy,rain,Ruta-Litoral,Car,Volkswagen,Model C,Critical,7,15,False,,Elderly
182,182,2022-01-16,Sunday,1.0,2022.0,1.0,,Male,dry,clear,Periferico-Sur,Sedan,Chevrolet,Model H,critical,4,4,True,Winter,
183,183,20/05/2021,,,,,174.0,Male,Muddy,clear,Autopista-2,Pickup,Volkswagen,Model E,Serious,5,1,False,,
184,184,09/03/2021,,,,,54.0,Male,DRY,clear,Ruta-Litoral,Pickup,Hyundai,Model G,MINOR,8,3,False,,Senior
185,185,23/03/2021,,,,,,Male,Icy,Windy,Ruta-Del-Sol,Pickup,Hyundai,Model C,serious,7,3,False,,
186,186,10/04/2024,,,,,32.0,Other,WET,Sunny,Autopista-1,Car,Ford,Model A,MINOR,3,3,False,,Adult
187,187,2022-06-19,Sunday,6.0,2022.0,2.0,46.0,Other,wet,clear,Route-3,Van,BMW,Model B,minor,6,5,True,Summer,Middle-aged
188,188,2022-10-06,Thursday,10.0,2022.0,4.0,,Female,DRY,windy,Route-2,Bus,Mercedes,Model B,minor,1,0,False,Fall,
189,189,2023-03-22,Wednesday,3.0,2023.0,1.0,60.0,Male,DRY,Fog,Autopista-1,Truck,Toyota,Model G,minor,4,4,False,Spring,Senior
190,190,14/08/2024,,,,,,Male,DRY,Sunny,Highway-57,Pickup,BMW,Model A,critical,2,0,False,,
191,191,2021-05-29,Saturday,5.0,2021.0,2.0,23.0,Female,Icy,cloudy,Carretera-45,Bus,BMW,Model A,MINOR,8,1,True,Spring,Young
192,192,06/26/2024,,,,,85.0,Male,Wet,Windy,Ruta-Centro,Sedan,Ford,Model D,Critical,4,0,False,,Elderly
193,193,13/03/2022,,,,,72.0,Male,icy,Sunny,Carretera-45,Truck,Volkswagen,Model D,minor,2,4,False,,Elderly
194,194,12/16/2022,,,,,,Female,Muddy,sunny,Ruta-Del-Sol,SUV,Nissan,Model A,Minor,6,5,False,,
195,195,11/20/2021,,,,,54.0,Female,Wet,Sunny,Highway-85,Truck,Mercedes,Model G,minor,6,2,False,,Senior
196,196,09/01/2024,,,,,81.0,Female,ICY,fog,Route-3,Pickup,Audi,Model D,SERIOUS,6,0,False,,Elderly
197,197,2024-09-20,Friday,9.0,2024.0,3.0,27.0,Male,dry,Storm,Corredor-Industrial,SUV,Ford,Model B,serious,2,5,False,Fall,Adult
198,198,10-03-2021,,,,,37.0,Male,Icy,fog,Ruta-Litoral,Van,Mercedes,Model C,serious,4,1,False,,Middle-aged
199,199,11-15-2021,,,,,36.0,Female,WET,Snow,Ruta-Centro,Sedan,Hyundai,Model B,Minor,6,1,False,,Middle-aged
200,200,02/21/2022,,,,,79.0,Male,Dry,Fog,Highway-57,Motorcycle,Toyota,Model E,CRITICAL,5,1,False,,Elderly
201,201,05/30/2022,,,,,72.0,Female,Dry,rain,Ruta-Del-Sol,Van,Audi,Model A,CRITICAL,7,1,False,,Elderly
202,202,18/05/2023,,,,,29.0,Male,Dry,Windy,Route-1,Car,Volkswagen,Model E,Minor,2,5,False,,Adult
203,203,11/15/2022,,,,,67.0,Other,wet,windy,Circuito-Interior,Van,Mercedes,Model H,MINOR,2,3,False,,Elderly
204,204,24/06/2023,,,,,79.0,Female,DRY,cloudy,Ruta-Centro,SUV,Hyundai,Model C,SERIOUS,4,0,False,,Elderly
205,205,2021-01-20,Wednesday,1.0,2021.0,1.0,60.0,Female,DRY,sunny,MX-40,Van,Chevrolet,Model E,Minor,2,25,False,Winter,Senior
206,206,11-16-2024,,,,,,Other,DRY,Storm,Carretera-45,Car,BMW,Model G,CRITICAL,2,0,False,,
207,207,07/04/2024,,,,,67.0,Other,Wet,storm,Highway-57,Van,Hyundai,Model D,CRITICAL,6,2,False,,Elderly
208,208,03-27-2021,,,,,81.0,Male,wet,rain,Carretera-45,Motorcycle,Mercedes,Model H,SERIOUS,4,3,False,,Elderly
209,209,23/03/2021,,,,,67.0,Male,icy,sunny,Autopista-1,Pickup,Nissan,Model D,Minor,6,3,False,,Elderly
210,210,27/05/2022,,,,,,Female,muddy,Fog,Circuito-Interior,Pickup,Audi,Model H,Critical,7,5,False,,
211,211,21/02/2024,,,,,46.0,Male,Muddy,storm,Ruta-Del-Sol,Motorcycle,Volkswagen,Model G,Minor,8,3,False,,Middle-aged
212,212,06/25/2024,,,,,18.0,Male,Dry,snow,Highway-85,Motorcycle,Volkswagen,Model C,Serious,7,3,False,,Young
213,213,11-29-2021,,,,,,Male,Wet,cloudy,Route-2,Truck,Chevrolet,Model G,Serious,8,5,False,,
214,214,2021-02-20,Saturday,2.0,2021.0,1.0,78.0,Other,Wet,sunny,Route-3,Truck,BMW,Model F,CRITICAL,6,0,True,Winter,Elderly
215,215,12/11/2022,,,,,25.0,Female,Dry,Windy,Ruta-Del-Sol,SUV,Volkswagen,Model G,serious,7,2,False,,Young
216,216,10/03/2024,,,,,35.0,Male,WET,windy,Route-1,Bus,Ford,Model A,minor,4,5,False,,Adult
217,217,2024-12-07,Saturday,12.0,2024.0,4.0,71.0,Male,Muddy,windy,Ruta-Litoral,Bus,Mercedes,Model A,Serious,1,5,True,Winter,Elderly
218,218,21/03/2021,,,,,,Male,WET,Fog,MX-85,Truck,Chevrolet,Model H,Serious,6,2,False,,
219,219,08-01-2023,,,,,35.0,Other,muddy,sunny,Carretera-45,Motorcycle,Mercedes,Model F,minor,8,5,False,,Adult
220,220,2022-04-02,Saturday,4.0,2022.0,2.0,,Other,WET,sunny,Ruta-Del-Sol,Bus,Audi,Model G,Critical,5,2,True,Spring,
221,221,31/01/2022,,,,,21.0,Female,Wet,fog,Carretera-45,Motorcycle,Ford,Model C,MINOR,8,5,False,,Young
222,222,23/05/2021,,,,,24.0,Male,wet,Clear,Highway-85,Pickup,Hyundai,Model H,MINOR,5,3,False,,Young
223,223,08-06-2024,,,,,27.0,Male,Dry,Sunny,Highway-57,SUV,Audi,Model E,Serious,2,5,False,,Adult
224,224,10/11/2022,,,,,38.0,Male,Dry,storm,MX-85,Motorcycle,Toyota,Model G,Serious,7,3,False,,Middle-aged
225,225,2022-06-19,Sunday,6.0,2022.0,2.0,,Female,muddy,Snow,Circuito-Interior,Pickup,Honda,Model A,critical,5,2,True,Summer,
226,226,2022-06-28,Tuesday,6.0,2022.0,2.0,27.0,Other,wet,Storm,Bypass-Norte,Pickup,Nissan,Model D,CRITICAL,8,2,False,Summer,Adult
227,227,05/06/2024,,,,,,Female,Muddy,fog,Viaducto-Oriental,Motorcycle,Hyundai,Model H,serious,2,1,False,,
228,228,26/05/2024,,,,,41.0,Female,dry,Snow,Viaducto-Oriental,Sedan,Honda,Model H,CRITICAL,1,5,False,,Middle-aged
229,229,2024-03-26,Tuesday,3.0,2024.0,1.0,85.0,Female,ICY,Clear,MX-85,Van,BMW,Model C,critical,4,3,False,Spring,Elderly
230,230,01/04/2021,,,,,70.0,Male,ICY,Clear,MX-85,Bus,Toyota,Model H,CRITICAL,4,4,False,,Elderly
231,231,01-08-2024,,,,,19.0,Male,Wet,Sunny,Route-1,Motorcycle,Hyundai,Model A,Minor,4,5,False,,Young
232,232,08/02/2022,,,,,22.0,Male,Muddy,fog,Periferico-Sur,Bus,BMW,Model E,critical,5,2,False,,Young
233,233,09-22-2024,,,,,38.0,Female,muddy,sunny,Ruta-Del-Sol,Motorcycle,Volkswagen,Model B,Critical,1,4,False,,Middle-aged
234,234,13/09/2021,,,,,,Female,wet,Clear,Highway-85,Van,Audi,Model H,MINOR,5,5,False,,
235,235,26/09/2022,,,,,76.0,Other,Muddy,clear,Carretera-45,Van,Volkswagen,Model B,minor,7,4,False,,Elderly
236,236,28/11/2024,,,,,82.0,Male,Dry,Cloudy,MX-85,Motorcycle,Audi,Model A,Critical,5,2,False,,Elderly
237,237,12/05/2023,,,,,38.0,Female,icy,Snow,Highway-57,Sedan,Audi,Model F,Serious,1,1,False,,Middle-aged
238,238,23/12/2021,,,,,66.0,Other,dry,Fog,Bypass-Norte,Car,Volkswagen,Model H,Serious,1,2,False,,Elderly
239,239,28/01/2024,,,,,45.0,Other,muddy,storm,Autopista-1,Sedan,Chevrolet,Model D,MINOR,7,3,False,,Middle-aged
240,240,03-07-2022,,,,,68.0,Female,Wet,rain,Viaducto-Oriental,Motorcycle,Chevrolet,Model B,Minor,1,3,False,,Elderly
241,241,08/11/2023,,,,,,Female,icy,Rain,Bypass-Norte,Car,Volkswagen,Model C,serious,8,1,False,,
242,242,14/12/2021,,,,,27.0,Female,Icy,Clear,Highway-85,Bus,Hyundai,Model E,SERIOUS,1,3,False,,Adult
243,243,21/09/2024,,,,,58.0,Male,Dry,Fog,Route-1,Van,Mercedes,Model E,Critical,4,4,False,,Senior
244,244,27/04/2022,,,,,66.0,Other,wet,Fog,Ruta-Del-Sol,Sedan,Ford,Model B,Critical,8,1,False,,Elderly
245,245,2022-02-12,Saturday,2.0,2022.0,1.0,,Female,Muddy,Storm,Corredor-Industrial,Motorcycle,Hyundai,Model C,Minor,8,24,True,Winter,
246,246,2021-04-05,Monday,4.0,2021.0,2.0,42.0,Other,Muddy,snow,Circuito-Interior,Truck,Mercedes,Model C,critical,7,4,False,Spring,Middle-aged
247,247,09/01/2023,,,,,64.0,Male,ICY,storm,Corredor-Industrial,Car,Ford,Model B,minor,3,4,False,,Senior
248,248,07/13/2024,,,,,21.0,Female,Dry,snow,Ruta-Del-Sol,Truck,Audi,Model F,SERIOUS,3,2,False,,Young
249,249,2023-03-30,Thursday,3.0,2023.0,1.0,,Female,Muddy,Windy,Route-1,SUV,Toyota,Model G,Minor,1,5,False,Spring,
250,250,09-05-2024,,,,,,Male,wet,Clear,MX-85,SUV,Ford,Model D,SERIOUS,8,4,False,,
251,251,07/08/2021,,,,,,Other,muddy,storm,Ruta-Litoral,Truck,Chevrolet,Model D,SERIOUS,3,5,False,,
252,252,26/11/2024,,,,,,Female,Muddy,sunny,Highway-57,Motorcycle,Honda,Model F,serious,3,2,False,,
253,253,26/05/2022,,,,,,Male,WET,clear,Ring-Road,Truck,Nissan,Model H,critical,1,5,False,,
254,254,10-01-2021,,,,,43.0,Female,DRY,sunny,MX-40,Truck,BMW,Model H,serious,3,4,False,,Middle-aged
255,255,05/04/2024,,,,,154.0,Female,Muddy,Rain,Autopista-1,Bus,Volkswagen,Model D,serious,5,4,False,,
256,256,10/31/2023,,,,,,Male,ICY,storm,Corredor-Industrial,SUV,Audi,Model F,SERIOUS,2,0,False,,
257,257,11/22/2021,,,,,181.0,Female,WET,Storm,MX-85,Pickup,Hyundai,Model A,Minor,7,2,False,,
258,258,22/05/2022,,,,,,Other,muddy,Snow,Periferico-Sur,Car,Honda,Model D,CRITICAL,2,0,False,,
259,259,04/12/2023,,,,,19.0,Other,dry,Fog,Route-2,Pickup,Toyota,Model A,Critical,1,5,False,,Young
260,260,2023-06-20,Tuesday,6.0,2023.0,2.0,68.0,Male,muddy,cloudy,Ruta-Del-Sol,Sedan,Chevrolet,Model G,minor,4,1,False,Summer,Elderly
261,261,2022-08-09,Tuesday,8.0,2022.0,3.0,68.0,Female,Wet,Sunny,Periferico-Sur,Bus,Chevrolet,Model H,Serious,7,3,False,Summer,Elderly
262,262,11/19/2022,,,,,30.0,Other,dry,Fog,Autopista-2,Car,Volkswagen,Model B,SERIOUS,1,5,False,,Adult
263,263,19/04/2022,,,,,82.0,Other,WET,Cloudy,Ring-Road,Bus,Honda,Model B,Serious,8,0,False,,Elderly
264,264,2022-03-15,Tuesday,3.0,2022.0,1.0,,Other,Muddy,rain,MX-85,Van,Volkswagen,Model A,serious,4,2,False,Spring,
265,265,04/15/2023,,,,,66.0,Female,WET,rain,Ruta-Del-Sol,Van,Hyundai,Model C,MINOR,2,4,False,,Elderly
266,266,05-11-2023,,,,,22.0,Male,muddy,Cloudy,Periferico-Sur,Sedan,Honda,Model A,Serious,1,4,False,,Young
267,267,02/10/2021,,,,,77.0,Female,Wet,snow,Periferico-Sur,Truck,Audi,Model E,critical,8,3,False,,Elderly
268,268,13/01/2021,,,,,,Female,DRY,Rain,Bypass-Norte,Car,Honda,Model G,minor,7,5,False,,
269,269,03/10/2023,,,,,47.0,Male,DRY,Rain,Corredor-Industrial,Pickup,Chevrolet,Model E,serious,7,1,False,,Middle-aged
270,270,01/24/2024,,,,,36.0,Other,Muddy,cloudy,Autopista-1,Car,Honda,Model H,MINOR,6,4,False,,Middle-aged
271,271,13/07/2022,,,,,82.0,Other,ICY,snow,Autopista-2,Motorcycle,Mercedes,Model D,SERIOUS,8,5,False,,Elderly
272,272,11-20-2022,,,,,84.0,Other,wet,sunny,Ruta-Litoral,Van,Mercedes,Model D,MINOR,5,2,False,,Elderly
273,273,08/16/2023,,,,,34.0,Female,Wet,Snow,Corredor-Industrial,SUV,Toyota,Model C,MINOR,3,5,False,,Adult
274,274,03/18/2023,,,,,73.0,Other,DRY,Snow,Highway-85,Truck,Chevrolet,Model G,Critical,4,10,False,,Elderly
275,275,2023-05-28,Sunday,5.0,2023.0,2.0,,Other,DRY,sunny,Highway-57,Sedan,BMW,Model E,MINOR,8,1,True,Spring,
276,276,2023-08-04,Friday,8.0,2023.0,3.0,48.0,Female,Wet,Clear,Ring-Road,Motorcycle,Audi,Model H,Critical,6,2,False,Summer,Middle-aged
277,277,17/06/2022,,,,,,Female,Icy,Cloudy,MX-40,Van,BMW,Model H,minor,3,0,False,,
278,278,11/01/2022,,,,,37.0,Other,dry,sunny,Ring-Road,Van,Hyundai,Model H,critical,3,5,False,,Middle-aged
279,279,14/05/2023,,,,,30.0,Other,WET,Snow,Route-2,Car,Mercedes,Model F,MINOR,1,0,False,,Adult
280,280,09/02/2021,,,,,57.0,Female,wet,fog,Autopista-1,Sedan,BMW,Model D,Minor,3,2,False,,Senior
281,281,2022-12-18,Sunday,12.0,2022.0,4.0,29.0,Other,Dry,clear,Ruta-Litoral,Car,Mercedes,Model G,critical,5,15,True,Winter,Adult
282,282,05-21-2021,,,,,39.0,Female,WET,Cloudy,Highway-85,Pickup,BMW,Model H,minor,7,0,False,,Middle-aged
283,283,2022-05-22,Sunday,5.0,2022.0,2.0,53.0,Male,WET,fog,Highway-57,Truck,Hyundai,Model F,Minor,6,2,True,Spring,Senior
284,284,11/02/2021,,,,,27.0,Female,Muddy,Clear,Ruta-Del-Sol,Van,Ford,Model E,Critical,3,0,False,,Adult
285,285,08/28/2023,,,,,,Male,wet,storm,Route-3,Truck,Ford,Model C,MINOR,1,3,False,,
286,286,03/12/2024,,,,,78.0,Male,dry,storm,Corredor-Industrial,Bus,Mercedes,Model E,Serious,5,5,False,,Elderly
287,287,05/25/2024,,,,,74.0,Female,dry,windy,Autopista-1,Van,BMW,Model E,CRITICAL,2,5,False,,Elderly
288,288,02/12/2021,,,,,33.0,Female,Icy,Storm,Autopista-1,Truck,Toyota,Model D,serious,7,1,False,,Adult
289,289,02-22-2021,,,,,64.0,Other,icy,clear,Ruta-Del-Sol,Car,Honda,Model H,Minor,7,4,False,,Senior
290,290,02/08/2023,,,,,34.0,Female,DRY,Sunny,Ruta-Centro,Sedan,Audi,Model F,Critical,6,2,False,,Adult
291,291,15/11/2024,,,,,58.0,Male,Icy,Cloudy,Bypass-Norte,SUV,Chevrolet,Model D,critical,7,5,False,,Senior
292,292,11/28/2024,,,,,82.0,Female,dry,Cloudy,Carretera-45,Van,Honda,Model D,SERIOUS,3,0,False,,Elderly
293,293,09/05/2021,,,,,23.0,Male,ICY,Fog,Autopista-1,Van,Volkswagen,Model G,CRITICAL,1,1,False,,Young
294,294,28/12/2023,,,,,49.0,Male,muddy,cloudy,Circuito-Interior,Van,Audi,Model C,SERIOUS,7,4,False,,Middle-aged
295,295,03/11/2023,,,,,37.0,Female,Muddy,Rain,Highway-57,Car,Audi,Model A,Minor,7,15,False,,Middle-aged
296,296,11/05/2023,,,,,38.0,Other,Muddy,Storm,Viaducto-Oriental,Bus,Honda,Model G,minor,2,1,False,,Middle-aged
297,297,01-12-2023,,,,,46.0,Male,wet,clear,Carretera-45,Bus,Chevrolet,Model C,MINOR,2,2,False,,Middle-aged
298,298,2023-06-11,Sunday,6.0,2023.0,2.0,29.0,Other,Muddy,clear,Route-2,Van,Audi,Model B,CRITICAL,4,3,True,Summer,Adult
299,299,05/12/2023,,,,,77.0,Male,Muddy,Clear,Autopista-1,Car,Audi,Model H,MINOR,5,3,False,,Elderly
300,300,01-08-2024,,,,,,Female,Wet,Sunny,Periferico-Sur,Sedan,Hyundai,Model H,Minor,3,5,False,,
