location_key,road_conditions,weather_conditions,track
634,icy,Fog,Ruta-Del-Sol
635,Muddy,snow,Autopista-2
636,wet,rain,Route-2
637,icy,clear,Ring-Road
638,muddy,Windy,Route-1
639,Dry,Sunny,Ruta-Del-Sol
640,Wet,cloudy,Route-1
641,Wet,windy,Ring-Road
642,Muddy,clear,Ruta-Litoral
643,Icy,windy,Circuito-Interior
644,Muddy,Storm,Corredor-Industrial
645,muddy,clear,MX-85
646,Icy,clear,Autopista-2
647,Dry,Fog,Autopista-1
648,muddy,fog,Bypass-Norte
649,WET,snow,Autopista-2
650,icy,storm,Route-3
651,dry,Fog,MX-85
652,DRY,sunny,Ring-Road
653,Dry,Cloudy,Ring-Road
654,icy,snow,Ruta-Litoral
655,Wet,snow,Highway-57
656,Wet,Fog,Bypass-Norte
657,WET,Sunny,Autopista-1
658,Wet,windy,Corredor-Industrial
659,DRY,Snow,Viaducto-Oriental
660,muddy,Clear,Carretera-45
661,Dry,clear,Ruta-Centro
662,dry,Fog,Ring-Road
663,Muddy,fog,Bypass-Norte
664,ICY,rain,Route-3
665,ICY,Cloudy,Route-1
666,DRY,sunny,Autopista-2
667,dry,Rain,MX-40
668,DRY,Sunny,Route-3
669,icy,snow,Route-3
670,dry,Storm,Autopista-1
671,DRY,Clear,Ruta-Del-Sol
672,muddy,sunny,Route-1
673,Icy,Snow,Route-2
674,Wet,Snow,Ruta-Del-Sol
675,ICY,windy,Ruta-Litoral
676,Muddy,snow,Route-3
677,wet,Clear,Route-1
678,icy,Windy,Corredor-Industrial
679,icy,windy,Ruta-Del-Sol
680,Muddy,sunny,Corredor-Industrial
681,Dry,storm,Bypass-Norte
682,DRY,cloudy,Carretera-45
683,WET,snow,Ring-Road
684,Dry,fog,Highway-57
685,Dry,Fog,Bypass-Norte
686,Dry,Fog,Route-1
687,Muddy,Fog,Highway-85
688,muddy,sunny,Ruta-Litoral
689,muddy,sunny,Viaducto-Oriental
690,Muddy,clear,Route-1
691,wet,sunny,Autopista-1
692,Icy,fog,Highway-85
693,wet,Clear,Periferico-Sur
694,ICY,Fog,Route-1
695,Muddy,Cloudy,Ruta-Centro
696,wet,Storm,Ring-Road
697,Icy,Cloudy,Viaducto-Oriental
698,Dry,Fog,Ruta-Litoral
699,wet,windy,Route-3
700,DRY,fog,Autopista-1
701,DRY,Snow,Highway-57
702,muddy,Windy,Autopista-1
703,wet,Snow,Periferico-Sur
704,ICY,Rain,Route-3
705,Muddy,Fog,Route-3
706,DRY,Rain,Carretera-45
707,DRY,Rain,Autopista-2
708,WET,fog,Autopista-1
709,DRY,clear,Highway-85
710,Dry,Snow,Bypass-Norte
711,icy,cloudy,Carretera-45
712,DRY,Windy,Bypass-Norte
713,wet,Windy,Route-2
714,Icy,clear,Corredor-Industrial
715,Dry,cloudy,Ruta-Del-Sol
716,wet,windy,Periferico-Sur
717,icy,snow,Carretera-45
718,DRY,fog,Autopista-2
719,icy,rain,Route-2
720,WET,fog,Carretera-45
721,WET,Clear,Carretera-45
722,icy,clear,Corredor-Industrial
723,ICY,Windy,Route-1
724,Dry,clear,Route-2
725,Muddy,Cloudy,Ruta-Del-Sol
726,WET,Windy,Route-3
727,wet,Cloudy,Route-3
728,icy,fog,Autopista-1
729,dry,clear,Ruta-Centro
730,dry,Windy,Ring-Road
731,ICY,rain,MX-85
732,Muddy,cloudy,Carretera-45
733,Dry,clear,Periferico-Sur
734,DRY,rain,MX-85
735,Icy,Rain,MX-85
736,dry,Fog,Periferico-Sur
737,icy,snow,Route-2
738,wet,windy,Periferico-Sur
739,DRY,Sunny,Viaducto-Oriental
740,DRY,snow,Highway-85
741,Icy,rain,Viaducto-Oriental
742,muddy,Cloudy,Highway-85
743,Icy,rain,MX-85
744,DRY,storm,Ring-Road
745,icy,Snow,Ruta-Litoral
746,wet,Snow,Ruta-Centro
747,Dry,rain,Ruta-Del-Sol
748,Wet,snow,Periferico-Sur
749,DRY,sunny,Route-1
750,muddy,storm,Ruta-Del-Sol
751,icy,Rain,Carretera-45
752,Muddy,windy,Highway-57
753,Muddy,sunny,Corredor-Industrial
754,icy,Snow,Autopista-1
755,dry,fog,Ruta-Litoral
756,Dry,sunny,Corredor-Industrial
757,Dry,windy,Route-1
758,muddy,windy,Route-3
759,DRY,rain,Viaducto-Oriental
760,Icy,Sunny,Periferico-Sur
761,Icy,clear,MX-40
762,Wet,storm,Route-1
763,Icy,sunny,Circuito-Interior
764,Icy,Fog,Periferico-Sur
765,wet,Snow,Viaducto-Oriental
766,Icy,Fog,Autopista-2
767,WET,sunny,Ruta-Litoral
768,DRY,Cloudy,Ruta-Centro
769,WET,Windy,Ruta-Centro
770,muddy,clear,MX-85
771,WET,storm,Bypass-Norte
772,wet,Fog,Route-1
773,DRY,rain,Carretera-45
774,Icy,Fog,Autopista-2
775,icy,snow,Route-2
776,Muddy,windy,Ruta-Centro
777,Wet,Rain,Ruta-Centro
778,DRY,Cloudy,Highway-85
779,Dry,Cloudy,Ring-Road
780,Wet,fog,Corredor-Industrial
781,Wet,storm,MX-40
782,Icy,windy,Circuito-Interior
783,wet,rain,Autopista-2
784,Wet,clear,Highway-85
785,Wet,cloudy,Highway-57
786,icy,Storm,Ruta-Litoral
787,ICY,windy,Circuito-Interior
788,wet,Snow,Route-1
789,ICY,windy,Ring-Road
790,ICY,Windy,Route-1
791,muddy,Storm,Corredor-Industrial
792,DRY,sunny,Periferico-Sur
793,Dry,Storm,Highway-57
794,Dry,Snow,Ring-Road
795,ICY,clear,Carretera-45
796,Dry,snow,Ruta-Centro
797,Wet,rain,MX-40
798,WET,Storm,Highway-57
799,Muddy,Clear,Corredor-Industrial
800,ICY,cloudy,Highway-85
801,DRY,Storm,Ring-Road
802,WET,storm,Viaducto-Oriental
803,WET,cloudy,Bypass-Norte
804,ICY,Fog,Viaducto-Oriental
805,Icy,Rain,Ring-Road
806,dry,Sunny,Periferico-Sur
807,Wet,Rain,Circuito-Interior
808,Icy,Cloudy,Viaducto-Oriental
809,Muddy,Rain,Autopista-2
810,Muddy,Fog,Autopista-1
811,icy,windy,Autopista-1
812,WET,snow,Ruta-Del-Sol
813,Dry,Sunny,Autopista-2
814,wet,snow,Circuito-Interior
815,WET,Fog,Route-3
816,Icy,sunny,Highway-57
817,DRY,Cloudy,Ruta-Del-Sol
818,wet,Snow,Bypass-Norte
819,Icy,storm,Corredor-Industrial
820,muddy,clear,Route-2
821,DRY,clear,Autopista-1
822,Wet,sunny,MX-85
823,Icy,clear,Route-1
824,Wet,Storm,Corredor-Industrial
825,Icy,cloudy,Ruta-Centro
826,Dry,clear,Highway-57
827,dry,Windy,Viaducto-Oriental
828,ICY,fog,Bypass-Norte
829,wet,Windy,Viaducto-Oriental
830,dry,sunny,Circuito-Interior
831,WET,fog,Route-1
832,icy,windy,Viaducto-Oriental
833,dry,Fog,Bypass-Norte
834,DRY,fog,Bypass-Norte
835,icy,Clear,MX-85
836,Muddy,Cloudy,Viaducto-Oriental
837,DRY,Rain,MX-85
838,ICY,sunny,Highway-85
839,Dry,Clear,MX-40
840,WET,Snow,Periferico-Sur
841,ICY,Windy,Ruta-Centro
842,icy,Windy,Circuito-Interior
843,muddy,Snow,Periferico-Sur
844,Icy,Clear,Bypass-Norte
845,icy,clear,Ruta-Litoral
846,wet,rain,Corredor-Industrial
847,ICY,Windy,Periferico-Sur
848,Icy,Snow,Route-1
849,wet,Windy,Ruta-Del-Sol
850,Icy,Sunny,Carretera-45
851,Wet,Fog,Ring-Road
852,muddy,clear,MX-85
853,ICY,cloudy,Autopista-2
854,dry,Fog,MX-85
855,ICY,Cloudy,Viaducto-Oriental
856,icy,cloudy,Route-1
857,wet,rain,Autopista-1
858,icy,storm,Carretera-45
859,wet,windy,Corredor-Industrial
860,Dry,sunny,Carretera-45
861,Dry,Storm,Route-3
862,muddy,Cloudy,Autopista-1
863,DRY,Snow,Ruta-Del-Sol
864,wet,sunny,Ring-Road
865,wet,rain,MX-40
866,muddy,Sunny,MX-85
867,icy,rain,Route-3
868,wet,Fog,Ruta-Litoral
869,muddy,storm,Ruta-Litoral
870,WET,Cloudy,MX-40
871,icy,Snow,Ruta-Centro
872,Icy,snow,Circuito-Interior
873,dry,windy,Bypass-Norte
874,Wet,Snow,Highway-85
875,Wet,cloudy,Highway-57
876,Icy,Fog,MX-85
877,dry,Sunny,Viaducto-Oriental
878,Icy,Sunny,Corredor-Industrial
879,WET,sunny,Circuito-Interior
880,wet,Cloudy,Route-3
881,ICY,Windy,Ring-Road
882,Muddy,Windy,Ruta-Del-Sol
883,WET,Rain,Autopista-1
884,muddy,fog,Carretera-45
885,Muddy,Fog,Ruta-Centro
886,Wet,Clear,Periferico-Sur
887,WET,storm,Route-2
888,WET,storm,Autopista-2
889,DRY,rain,Route-1
890,dry,snow,Bypass-Norte
891,dry,fog,Periferico-Sur
892,muddy,Snow,MX-85
893,wet,Fog,Circuito-Interior
894,muddy,Sunny,Ruta-Litoral
895,muddy,Windy,MX-40
896,muddy,Sunny,Bypass-Norte
897,Icy,Fog,MX-40
898,WET,rain,Route-2
899,Icy,Clear,Viaducto-Oriental
900,Dry,Storm,Periferico-Sur
901,dry,Sunny,Route-2
902,ICY,Cloudy,Ruta-Litoral
903,ICY,Cloudy,Bypass-Norte
904,DRY,snow,Autopista-2
905,muddy,Snow,Circuito-Interior
906,Icy,Sunny,Circuito-Interior
907,Wet,snow,Ring-Road
