accident_key,date_key,location_key,vehicle_key,driver_key,number_of_vehicles,number_of_fatalities,accident_severity
155,155,155,155,155,7,4,CRITICAL
156,156,156,156,156,4,1,Critical
157,157,157,157,157,8,4,Critical
158,158,158,158,158,1,3,Serious
159,159,159,159,159,3,2,CRITICAL
160,160,160,160,160,5,3,Minor
161,161,161,161,161,3,0,minor
162,162,162,162,162,7,1,MINOR
163,163,163,163,163,5,2,MINOR
164,164,164,164,164,1,4,Critical
165,165,165,165,165,7,10,Minor
166,166,166,166,166,2,5,minor
167,167,167,167,167,4,2,CRITICAL
168,168,168,168,168,1,3,critical
169,169,169,169,169,4,3,CRITICAL
170,170,170,170,170,6,4,CRITICAL
171,171,171,171,171,2,4,MINOR
172,172,172,172,172,2,1,serious
173,173,173,173,173,1,2,Minor
174,174,174,174,174,2,2,SERIOUS
175,175,175,175,175,5,4,CRITICAL
176,176,176,176,176,2,0,CRITICAL
177,177,177,177,177,4,2,Minor
178,178,178,178,178,4,0,Critical
179,179,179,179,179,7,5,MINOR
180,180,180,180,180,4,0,critical
181,181,181,181,181,7,15,Critical
182,182,182,182,182,4,4,critical
183,183,183,183,183,5,1,Serious
184,184,184,184,184,8,3,MINOR
185,185,185,185,185,7,3,serious
186,186,186,186,186,3,3,MINOR
187,187,187,187,187,6,5,minor
188,188,188,188,188,1,0,minor
189,189,189,189,189,4,4,minor
190,190,190,190,190,2,0,critical
191,191,191,191,191,8,1,MINOR
192,192,192,192,192,4,0,Critical
193,193,193,193,193,2,4,minor
194,194,194,194,194,6,5,Minor
195,195,195,195,195,6,2,minor
196,196,196,196,196,6,0,SERIOUS
197,197,197,197,197,2,5,serious
198,198,198,198,198,4,1,serious
199,199,199,199,199,6,1,Minor
200,200,200,200,200,5,1,CRITICAL
201,201,201,201,201,7,1,CRITICAL
202,202,202,202,202,2,5,Minor
203,203,203,203,203,2,3,MINOR
204,204,204,204,204,4,0,SERIOUS
205,205,205,205,205,2,25,Minor
206,206,206,206,206,2,0,CRITICAL
207,207,207,207,207,6,2,CRITICAL
208,208,208,208,208,4,3,SERIOUS
209,209,209,209,209,6,3,Minor
210,210,210,210,210,7,5,Critical
211,211,211,211,211,8,3,Minor
212,212,212,212,212,7,3,Serious
213,213,213,213,213,8,5,Serious
214,214,214,214,214,6,0,CRITICAL
215,215,215,215,215,7,2,serious
216,216,216,216,216,4,5,minor
217,217,217,217,217,1,5,Serious
218,218,218,218,218,6,2,Serious
219,219,219,219,219,8,5,minor
220,220,220,220,220,5,2,Critical
221,221,221,221,221,8,5,MINOR
222,222,222,222,222,5,3,MINOR
223,223,223,223,223,2,5,Serious
224,224,224,224,224,7,3,Serious
225,225,225,225,225,5,2,critical
226,226,226,226,226,8,2,CRITICAL
227,227,227,227,227,2,1,serious
228,228,228,228,228,1,5,CRITICAL
229,229,229,229,229,4,3,critical
230,230,230,230,230,4,4,CRITICAL
231,231,231,231,231,4,5,Minor
232,232,232,232,232,5,2,critical
233,233,233,233,233,1,4,Critical
234,234,234,234,234,5,5,MINOR
235,235,235,235,235,7,4,minor
236,236,236,236,236,5,2,Critical
237,237,237,237,237,1,1,Serious
238,238,238,238,238,1,2,Serious
239,239,239,239,239,7,3,MINOR
240,240,240,240,240,1,3,Minor
241,241,241,241,241,8,1,serious
242,242,242,242,242,1,3,SERIOUS
243,243,243,243,243,4,4,Critical
244,244,244,244,244,8,1,Critical
245,245,245,245,245,8,24,Minor
246,246,246,246,246,7,4,critical
247,247,247,247,247,3,4,minor
248,248,248,248,248,3,2,SERIOUS
249,249,249,249,249,1,5,Minor
250,250,250,250,250,8,4,SERIOUS
251,251,251,251,251,3,5,SERIOUS
252,252,252,252,252,3,2,serious
253,253,253,253,253,1,5,critical
254,254,254,254,254,3,4,serious
255,255,255,255,255,5,4,serious
256,256,256,256,256,2,0,SERIOUS
257,257,257,257,257,7,2,Minor
258,258,258,258,258,2,0,CRITICAL
259,259,259,259,259,1,5,Critical
260,260,260,260,260,4,1,minor
261,261,261,261,261,7,3,Serious
262,262,262,262,262,1,5,SERIOUS
263,263,263,263,263,8,0,Serious
264,264,264,264,264,4,2,serious
265,265,265,265,265,2,4,MINOR
266,266,266,266,266,1,4,Serious
267,267,267,267,267,8,3,critical
268,268,268,268,268,7,5,minor
269,269,269,269,269,7,1,serious
270,270,270,270,270,6,4,MINOR
271,271,271,271,271,8,5,SERIOUS
272,272,272,272,272,5,2,MINOR
273,273,273,273,273,3,5,MINOR
274,274,274,274,274,4,10,Critical
275,275,275,275,275,8,1,MINOR
276,276,276,276,276,6,2,Critical
277,277,277,277,277,3,0,minor
278,278,278,278,278,3,5,critical
279,279,279,279,279,1,0,MINOR
280,280,280,280,280,3,2,Minor
281,281,281,281,281,5,15,critical
282,282,282,282,282,7,0,minor
283,283,283,283,283,6,2,Minor
284,284,284,284,284,3,0,Critical
285,285,285,285,285,1,3,MINOR
286,286,286,286,286,5,5,Serious
287,287,287,287,287,2,5,CRITICAL
288,288,288,288,288,7,1,serious
289,289,289,289,289,7,4,Minor
290,290,290,290,290,6,2,Critical
291,291,291,291,291,7,5,critical
292,292,292,292,292,3,0,SERIOUS
293,293,293,293,293,1,1,CRITICAL
294,294,294,294,294,7,4,SERIOUS
295,295,295,295,295,7,15,Minor
296,296,296,296,296,2,1,minor
297,297,297,297,297,2,2,MINOR
298,298,298,298,298,4,3,CRITICAL
299,299,299,299,299,5,3,MINOR
300,300,300,300,300,3,5,Minor
301,301,301,301,301,7,5,critical
302,302,302,302,302,8,2,Minor
303,303,303,303,303,7,4,MINOR
304,304,304,304,304,1,5,minor
305,305,305,305,305,4,2,Minor
306,306,306,306,306,5,0,MINOR
307,307,307,307,307,8,3,MINOR
308,308,308,308,308,4,4,minor
309,309,309,309,309,6,5,MINOR
310,310,310,310,310,5,1,Minor
311,311,311,311,311,7,0,critical
312,312,312,312,312,7,2,Minor
313,313,313,313,313,5,2,Critical
314,314,314,314,314,7,5,CRITICAL
315,315,315,315,315,3,3,Serious
316,316,316,316,316,5,3,MINOR
317,317,317,317,317,4,1,serious
318,318,318,318,318,5,0,Minor
319,319,319,319,319,8,1,CRITICAL
320,320,320,320,320,7,2,Serious
321,321,321,321,321,3,1,Minor
322,322,322,322,322,3,5,minor
323,323,323,323,323,6,3,Minor
324,324,324,324,324,4,3,Serious
325,325,325,325,325,2,5,Critical
326,326,326,326,326,2,3,Minor
327,327,327,327,327,5,0,minor
328,328,328,328,328,6,3,Minor
329,329,329,329,329,1,18,Critical
330,330,330,330,330,5,4,critical
331,331,331,331,331,6,5,Critical
332,332,332,332,332,4,1,Minor
333,333,333,333,333,4,11,serious
334,334,334,334,334,4,1,critical
335,335,335,335,335,4,3,Critical
336,336,336,336,336,4,1,minor
337,337,337,337,337,6,4,SERIOUS
338,338,338,338,338,6,0,critical
339,339,339,339,339,3,3,SERIOUS
340,340,340,340,340,8,2,critical
341,341,341,341,341,2,5,minor
342,342,342,342,342,7,4,Serious
343,343,343,343,343,4,4,Critical
344,344,344,344,344,1,1,MINOR
345,345,345,345,345,7,5,Minor
346,346,346,346,346,6,3,Minor
347,347,347,347,347,1,0,CRITICAL
348,348,348,348,348,1,1,MINOR
349,349,349,349,349,1,1,Minor
350,350,350,350,350,3,4,Critical
351,351,351,351,351,6,4,SERIOUS
352,352,352,352,352,1,2,critical
353,353,353,353,353,4,0,SERIOUS
354,354,354,354,354,5,5,serious
355,355,355,355,355,1,1,critical
356,356,356,356,356,3,1,serious
357,357,357,357,357,7,2,serious
358,358,358,358,358,6,5,Critical
359,359,359,359,359,8,1,Minor
360,360,360,360,360,3,1,critical
361,361,361,361,361,1,2,serious
362,362,362,362,362,6,2,CRITICAL
363,363,363,363,363,5,3,serious
364,364,364,364,364,1,1,serious
365,365,365,365,365,3,0,critical
366,366,366,366,366,2,2,minor
367,367,367,367,367,4,0,CRITICAL
368,368,368,368,368,8,5,Serious
369,369,369,369,369,7,0,Serious
370,370,370,370,370,3,5,CRITICAL
371,371,371,371,371,6,2,Minor
372,372,372,372,372,8,4,CRITICAL
373,373,373,373,373,8,0,Serious
374,374,374,374,374,8,5,CRITICAL
375,375,375,375,375,1,1,MINOR
376,376,376,376,376,4,4,critical
377,377,377,377,377,1,0,critical
378,378,378,378,378,6,0,CRITICAL
379,379,379,379,379,1,3,minor
380,380,380,380,380,2,4,serious
381,381,381,381,381,4,5,serious
382,382,382,382,382,4,4,critical
383,383,383,383,383,6,2,MINOR
384,384,384,384,384,7,3,MINOR
385,385,385,385,385,2,1,Critical
386,386,386,386,386,3,3,Critical
387,387,387,387,387,1,4,critical
388,388,388,388,388,5,0,Critical
389,389,389,389,389,1,3,Serious
390,390,390,390,390,8,4,SERIOUS
391,391,391,391,391,1,0,SERIOUS
392,392,392,392,392,3,1,Minor
393,393,393,393,393,1,0,critical
394,394,394,394,394,2,3,MINOR
395,395,395,395,395,2,3,MINOR
396,396,396,396,396,4,3,Minor
397,397,397,397,397,6,0,minor
398,398,398,398,398,7,4,MINOR
399,399,399,399,399,5,3,Serious
400,400,400,400,400,8,3,MINOR
401,401,401,401,401,1,2,Critical
402,402,402,402,402,1,5,serious
403,403,403,403,403,3,5,CRITICAL
404,404,404,404,404,6,1,MINOR
405,405,405,405,405,2,2,Minor
406,406,406,406,406,5,0,SERIOUS
407,407,407,407,407,4,1,Minor
408,408,408,408,408,2,22,serious
409,409,409,409,409,8,4,SERIOUS
410,410,410,410,410,6,3,Critical
411,411,411,411,411,8,0,MINOR
412,412,412,412,412,7,5,MINOR
413,413,413,413,413,4,5,Minor
414,414,414,414,414,7,0,Critical
415,415,415,415,415,3,2,minor
416,416,416,416,416,8,3,critical
417,417,417,417,417,3,0,Serious
418,418,418,418,418,1,0,critical
419,419,419,419,419,7,4,CRITICAL
420,420,420,420,420,6,1,critical
421,421,421,421,421,8,5,Minor
422,422,422,422,422,5,5,Serious
423,423,423,423,423,4,5,critical
424,424,424,424,424,2,5,minor
425,425,425,425,425,6,1,Minor
426,426,426,426,426,6,4,Serious
427,427,427,427,427,3,0,SERIOUS
428,428,428,428,428,7,1,minor
429,429,429,429,429,8,5,Serious
430,430,430,430,430,8,1,MINOR
431,431,431,431,431,1,2,SERIOUS
432,432,432,432,432,1,1,Serious
433,433,433,433,433,4,0,critical
434,434,434,434,434,3,2,MINOR
435,435,435,435,435,6,0,Minor
436,436,436,436,436,8,4,critical
437,437,437,437,437,5,1,CRITICAL
438,438,438,438,438,3,1,SERIOUS
439,439,439,439,439,4,4,Minor
440,440,440,440,440,4,5,critical
441,441,441,441,441,3,5,Critical
442,442,442,442,442,4,0,Critical
443,443,443,443,443,3,5,serious
444,444,444,444,444,2,3,serious
445,445,445,445,445,3,1,Serious
446,446,446,446,446,7,5,minor
447,447,447,447,447,3,0,minor
448,448,448,448,448,4,5,critical
449,449,449,449,449,8,1,serious
450,450,450,450,450,7,4,SERIOUS
451,451,451,451,451,4,19,serious
452,452,452,452,452,1,3,Minor
453,453,453,453,453,1,0,MINOR
454,454,454,454,454,8,2,serious
455,455,455,455,455,8,2,critical
456,456,456,456,456,7,0,minor
457,457,457,457,457,2,3,Serious
458,458,458,458,458,8,3,critical
459,459,459,459,459,1,1,SERIOUS
460,460,460,460,460,3,2,Minor
461,461,461,461,461,4,0,critical
462,462,462,462,462,1,5,SERIOUS
463,463,463,463,463,1,4,Serious
464,464,464,464,464,2,1,Serious
465,465,465,465,465,7,0,CRITICAL
466,466,466,466,466,7,0,CRITICAL
467,467,467,467,467,6,4,MINOR
468,468,468,468,468,2,4,MINOR
469,469,469,469,469,3,5,serious
470,470,470,470,470,7,2,MINOR
471,471,471,471,471,4,3,minor
472,472,472,472,472,8,1,MINOR
473,473,473,473,473,2,2,critical
474,474,474,474,474,8,0,MINOR
475,475,475,475,475,1,3,Serious
476,476,476,476,476,4,0,CRITICAL
477,477,477,477,477,4,3,minor
478,478,478,478,478,1,0,minor
479,479,479,479,479,2,5,critical
480,480,480,480,480,1,3,SERIOUS
481,481,481,481,481,8,3,serious
482,482,482,482,482,6,2,CRITICAL
483,483,483,483,483,4,1,SERIOUS
484,484,484,484,484,5,3,MINOR
485,485,485,485,485,5,3,CRITICAL
486,486,486,486,486,8,0,Minor
487,487,487,487,487,3,3,critical
488,488,488,488,488,7,0,SERIOUS
489,489,489,489,489,1,4,Minor
490,490,490,490,490,1,2,Critical
491,491,491,491,491,3,0,minor
492,492,492,492,492,3,1,SERIOUS
493,493,493,493,493,8,5,SERIOUS
494,494,494,494,494,8,2,Serious
495,495,495,495,495,3,0,CRITICAL
496,496,496,496,496,4,3,serious
497,497,497,497,497,8,1,minor
498,498,498,498,498,6,1,Minor
499,499,499,499,499,8,0,Serious
500,500,500,500,500,1,5,Critical
501,501,501,501,501,8,3,Critical
502,502,502,502,502,4,0,Minor
503,503,503,503,503,3,1,critical
504,504,504,504,504,1,0,MINOR
505,505,505,505,505,8,2,SERIOUS
506,506,506,506,506,4,0,minor
507,507,507,507,507,6,4,minor
508,508,508,508,508,8,1,minor
509,509,509,509,509,4,3,Critical
510,510,510,510,510,6,0,SERIOUS
511,511,511,511,511,3,3,minor
512,512,512,512,512,8,4,Critical
513,513,513,513,513,6,3,minor
514,514,514,514,514,1,3,MINOR
515,515,515,515,515,3,1,serious
516,516,516,516,516,1,4,serious
517,517,517,517,517,5,1,Minor
518,518,518,518,518,2,18,Critical
519,519,519,519,519,8,3,CRITICAL
520,520,520,520,520,6,5,Critical
521,521,521,521,521,2,5,critical
522,522,522,522,522,2,0,minor
523,523,523,523,523,6,4,Critical
524,524,524,524,524,3,5,MINOR
525,525,525,525,525,8,5,SERIOUS
526,526,526,526,526,5,4,MINOR
527,527,527,527,527,1,5,Critical
528,528,528,528,528,4,0,serious
529,529,529,529,529,1,4,Critical
530,530,530,530,530,4,0,SERIOUS
531,531,531,531,531,1,2,SERIOUS
532,532,532,532,532,6,5,minor
533,533,533,533,533,5,1,Critical
534,534,534,534,534,8,0,minor
535,535,535,535,535,4,1,CRITICAL
536,536,536,536,536,8,1,critical
537,537,537,537,537,8,0,Critical
538,538,538,538,538,8,0,Minor
539,539,539,539,539,7,0,Critical
540,540,540,540,540,3,4,minor
541,541,541,541,541,1,3,Critical
542,542,542,542,542,8,3,Minor
543,543,543,543,543,1,3,Serious
544,544,544,544,544,8,5,serious
545,545,545,545,545,4,5,Minor
546,546,546,546,546,3,2,Serious
547,547,547,547,547,3,3,MINOR
548,548,548,548,548,6,4,minor
549,549,549,549,549,7,4,minor
550,550,550,550,550,6,2,Critical
551,551,551,551,551,6,1,CRITICAL
552,552,552,552,552,6,0,serious
553,553,553,553,553,6,4,serious
554,554,554,554,554,6,2,Critical
555,555,555,555,555,5,2,minor
556,556,556,556,556,3,0,serious
557,557,557,557,557,6,4,SERIOUS
558,558,558,558,558,8,0,Serious
559,559,559,559,559,3,3,CRITICAL
560,560,560,560,560,3,5,Critical
561,561,561,561,561,2,5,Minor
562,562,562,562,562,5,1,SERIOUS
563,563,563,563,563,6,3,critical
564,564,564,564,564,1,0,critical
565,565,565,565,565,4,3,Serious
566,566,566,566,566,7,2,critical
567,567,567,567,567,8,3,serious
568,568,568,568,568,1,5,critical
569,569,569,569,569,5,3,Critical
570,570,570,570,570,4,4,MINOR
571,571,571,571,571,5,3,Minor
572,572,572,572,572,8,4,SERIOUS
573,573,573,573,573,3,0,critical
574,574,574,574,574,4,1,MINOR
575,575,575,575,575,3,5,Serious
576,576,576,576,576,8,5,minor
577,577,577,577,577,1,4,CRITICAL
578,578,578,578,578,8,4,minor
579,579,579,579,579,1,1,Serious
580,580,580,580,580,4,0,Minor
581,581,581,581,581,4,5,Minor
582,582,582,582,582,6,3,MINOR
583,583,583,583,583,5,3,serious
584,584,584,584,584,6,5,minor
585,585,585,585,585,5,0,minor
586,586,586,586,586,6,5,Critical
587,587,587,587,587,3,0,Critical
588,588,588,588,588,4,1,MINOR
589,589,589,589,589,1,4,Critical
590,590,590,590,590,5,2,Critical
591,591,591,591,591,8,0,SERIOUS
592,592,592,592,592,5,0,SERIOUS
593,593,593,593,593,1,4,SERIOUS
594,594,594,594,594,6,1,SERIOUS
595,595,595,595,595,5,1,minor
596,596,596,596,596,7,5,minor
597,597,597,597,597,3,4,Serious
598,598,598,598,598,4,4,MINOR
599,599,599,599,599,1,5,CRITICAL
600,600,600,600,600,4,1,Minor
601,601,601,601,601,7,4,MINOR
602,602,602,602,602,5,0,MINOR
603,603,603,603,603,5,2,serious
604,604,604,604,604,8,1,SERIOUS
605,605,605,605,605,7,1,Minor
606,606,606,606,606,1,2,SERIOUS
607,607,607,607,607,8,2,Minor
608,608,608,608,608,3,2,minor
609,609,609,609,609,8,4,CRITICAL
610,610,610,610,610,2,1,critical
611,611,611,611,611,1,0,Minor
612,612,612,612,612,2,2,minor
613,613,613,613,613,7,3,MINOR
614,614,614,614,614,6,0,Minor
615,615,615,615,615,2,1,critical
616,616,616,616,616,3,3,critical
617,617,617,617,617,8,0,Critical
618,618,618,618,618,6,3,CRITICAL
619,619,619,619,619,8,4,serious
620,620,620,620,620,2,2,Critical
621,621,621,621,621,8,1,serious
622,622,622,622,622,7,4,Serious
623,623,623,623,623,6,1,Minor
624,624,624,624,624,7,3,SERIOUS
625,625,625,625,625,2,0,serious
626,626,626,626,626,7,0,Minor
627,627,627,627,627,3,3,Critical
628,628,628,628,628,2,4,SERIOUS
629,629,629,629,629,2,2,serious
630,630,630,630,630,2,4,Minor
631,631,631,631,631,1,4,MINOR
632,632,632,632,632,8,5,SERIOUS
633,633,633,633,633,1,4,critical
634,634,634,634,634,1,1,CRITICAL
635,635,635,635,635,3,5,Critical
636,636,636,636,636,6,5,MINOR
637,637,637,637,637,8,1,SERIOUS
638,638,638,638,638,7,3,MINOR
639,639,639,639,639,5,1,Critical
640,640,640,640,640,2,0,critical
641,641,641,641,641,7,4,Minor
642,642,642,642,642,2,1,MINOR
643,643,643,643,643,3,4,Critical
644,644,644,644,644,2,3,Minor
645,645,645,645,645,1,3,Minor
646,646,646,646,646,8,0,minor
647,647,647,647,647,5,1,MINOR
648,648,648,648,648,4,0,minor
649,649,649,649,649,2,1,CRITICAL
650,650,650,650,650,7,5,critical
651,651,651,651,651,1,1,MINOR
652,652,652,652,652,4,2,serious
653,653,653,653,653,5,4,MINOR
654,654,654,654,654,4,5,Serious
655,655,655,655,655,1,0,serious
656,656,656,656,656,8,1,SERIOUS
657,657,657,657,657,8,1,serious
658,658,658,658,658,6,2,critical
659,659,659,659,659,8,0,SERIOUS
660,660,660,660,660,6,0,minor
661,661,661,661,661,4,2,Serious
662,662,662,662,662,3,1,CRITICAL
663,663,663,663,663,7,4,minor
664,664,664,664,664,7,2,SERIOUS
665,665,665,665,665,4,5,CRITICAL
666,666,666,666,666,2,5,serious
667,667,667,667,667,2,2,Serious
668,668,668,668,668,8,19,serious
669,669,669,669,669,7,2,CRITICAL
670,670,670,670,670,7,0,MINOR
671,671,671,671,671,6,5,Minor
672,672,672,672,672,3,5,critical
673,673,673,673,673,1,2,critical
674,674,674,674,674,2,2,Minor
675,675,675,675,675,7,19,serious
676,676,676,676,676,6,3,minor
677,677,677,677,677,5,4,Critical
678,678,678,678,678,6,5,MINOR
679,679,679,679,679,2,1,MINOR
680,680,680,680,680,2,2,serious
681,681,681,681,681,6,5,minor
682,682,682,682,682,1,2,Critical
683,683,683,683,683,4,5,Critical
684,684,684,684,684,2,0,minor
685,685,685,685,685,6,1,serious
686,686,686,686,686,7,0,MINOR
687,687,687,687,687,6,0,Serious
688,688,688,688,688,3,16,Critical
689,689,689,689,689,4,2,Serious
690,690,690,690,690,5,1,Critical
691,691,691,691,691,1,4,CRITICAL
692,692,692,692,692,8,0,CRITICAL
693,693,693,693,693,5,1,Serious
694,694,694,694,694,4,3,Serious
695,695,695,695,695,4,3,critical
696,696,696,696,696,4,3,serious
697,697,697,697,697,5,1,CRITICAL
698,698,698,698,698,7,1,critical
699,699,699,699,699,4,3,minor
700,700,700,700,700,6,2,serious
701,701,701,701,701,5,0,Minor
702,702,702,702,702,8,4,Minor
703,703,703,703,703,4,1,Serious
704,704,704,704,704,6,0,Critical
705,705,705,705,705,7,1,SERIOUS
706,706,706,706,706,3,2,MINOR
707,707,707,707,707,7,5,Critical
708,708,708,708,708,8,1,Critical
709,709,709,709,709,4,3,minor
710,710,710,710,710,8,1,CRITICAL
711,711,711,711,711,5,1,serious
712,712,712,712,712,2,1,SERIOUS
713,713,713,713,713,4,2,serious
714,714,714,714,714,2,4,Critical
715,715,715,715,715,6,1,Critical
716,716,716,716,716,3,3,critical
717,717,717,717,717,1,5,MINOR
718,718,718,718,718,8,3,SERIOUS
719,719,719,719,719,7,2,CRITICAL
720,720,720,720,720,3,4,SERIOUS
721,721,721,721,721,4,2,Serious
722,722,722,722,722,2,1,CRITICAL
723,723,723,723,723,7,5,CRITICAL
724,724,724,724,724,2,3,CRITICAL
725,725,725,725,725,5,1,Critical
726,726,726,726,726,2,2,Critical
727,727,727,727,727,5,18,minor
728,728,728,728,728,6,0,SERIOUS
729,729,729,729,729,7,2,CRITICAL
730,730,730,730,730,7,4,CRITICAL
731,731,731,731,731,1,4,SERIOUS
732,732,732,732,732,4,2,Minor
733,733,733,733,733,5,3,critical
734,734,734,734,734,1,0,CRITICAL
735,735,735,735,735,2,3,serious
736,736,736,736,736,2,4,Serious
737,737,737,737,737,1,3,MINOR
738,738,738,738,738,7,1,CRITICAL
739,739,739,739,739,2,0,Minor
740,740,740,740,740,8,3,MINOR
741,741,741,741,741,6,0,Serious
742,742,742,742,742,6,0,minor
743,743,743,743,743,8,4,serious
744,744,744,744,744,1,0,critical
745,745,745,745,745,8,4,MINOR
746,746,746,746,746,5,1,serious
747,747,747,747,747,5,3,SERIOUS
748,748,748,748,748,1,2,CRITICAL
749,749,749,749,749,8,5,serious
750,750,750,750,750,5,5,MINOR
751,751,751,751,751,7,3,Minor
752,752,752,752,752,8,3,critical
753,753,753,753,753,7,4,CRITICAL
754,754,754,754,754,5,4,MINOR
755,755,755,755,755,6,0,SERIOUS
756,756,756,756,756,5,0,serious
757,757,757,757,757,7,5,MINOR
758,758,758,758,758,3,23,minor
759,759,759,759,759,4,0,CRITICAL
760,760,760,760,760,2,4,minor
761,761,761,761,761,8,0,Minor
762,762,762,762,762,3,1,SERIOUS
763,763,763,763,763,5,2,Critical
764,764,764,764,764,6,5,minor
765,765,765,765,765,1,3,MINOR
766,766,766,766,766,5,3,Serious
767,767,767,767,767,6,2,Minor
768,768,768,768,768,4,5,CRITICAL
769,769,769,769,769,5,5,Minor
770,770,770,770,770,7,4,Critical
771,771,771,771,771,1,3,MINOR
772,772,772,772,772,6,5,Serious
773,773,773,773,773,6,3,MINOR
774,774,774,774,774,6,2,MINOR
775,775,775,775,775,4,5,Critical
776,776,776,776,776,5,1,Minor
777,777,777,777,777,4,1,Serious
778,778,778,778,778,8,2,MINOR
779,779,779,779,779,2,5,critical
780,780,780,780,780,2,4,critical
781,781,781,781,781,8,0,critical
782,782,782,782,782,5,2,SERIOUS
783,783,783,783,783,7,0,CRITICAL
784,784,784,784,784,4,3,MINOR
785,785,785,785,785,1,5,serious
786,786,786,786,786,6,1,critical
787,787,787,787,787,6,2,SERIOUS
788,788,788,788,788,5,5,CRITICAL
789,789,789,789,789,7,2,MINOR
790,790,790,790,790,2,4,critical
791,791,791,791,791,2,3,critical
792,792,792,792,792,6,4,critical
793,793,793,793,793,5,2,SERIOUS
794,794,794,794,794,4,0,critical
795,795,795,795,795,2,0,Serious
796,796,796,796,796,4,2,Critical
797,797,797,797,797,7,5,serious
798,798,798,798,798,2,4,SERIOUS
799,799,799,799,799,2,5,MINOR
800,800,800,800,800,3,3,serious
801,801,801,801,801,2,3,Minor
802,802,802,802,802,8,2,Minor
803,803,803,803,803,1,0,Minor
804,804,804,804,804,8,1,MINOR
805,805,805,805,805,5,2,CRITICAL
806,806,806,806,806,5,5,SERIOUS
807,807,807,807,807,4,4,critical
808,808,808,808,808,8,5,CRITICAL
809,809,809,809,809,8,2,MINOR
810,810,810,810,810,8,1,CRITICAL
811,811,811,811,811,7,12,Critical
812,812,812,812,812,2,12,serious
813,813,813,813,813,1,1,Minor
814,814,814,814,814,4,4,critical
815,815,815,815,815,8,2,Serious
816,816,816,816,816,8,4,MINOR
817,817,817,817,817,3,0,MINOR
818,818,818,818,818,4,5,critical
819,819,819,819,819,8,2,serious
820,820,820,820,820,4,5,critical
821,821,821,821,821,2,2,Serious
822,822,822,822,822,3,3,Critical
823,823,823,823,823,4,1,Critical
824,824,824,824,824,1,3,serious
825,825,825,825,825,1,1,serious
826,826,826,826,826,5,1,serious
827,827,827,827,827,3,5,Serious
828,828,828,828,828,3,5,CRITICAL
829,829,829,829,829,5,3,SERIOUS
830,830,830,830,830,4,4,serious
831,831,831,831,831,3,5,Minor
832,832,832,832,832,1,1,Critical
833,833,833,833,833,1,0,minor
834,834,834,834,834,8,1,minor
835,835,835,835,835,2,2,CRITICAL
836,836,836,836,836,3,3,MINOR
837,837,837,837,837,4,5,CRITICAL
838,838,838,838,838,5,0,MINOR
839,839,839,839,839,5,1,Minor
840,840,840,840,840,4,3,CRITICAL
841,841,841,841,841,7,2,minor
842,842,842,842,842,6,3,critical
843,843,843,843,843,2,3,SERIOUS
844,844,844,844,844,5,3,Minor
845,845,845,845,845,3,3,Serious
846,846,846,846,846,2,2,SERIOUS
847,847,847,847,847,3,4,Minor
848,848,848,848,848,7,4,minor
849,849,849,849,849,1,4,MINOR
850,850,850,850,850,2,3,minor
851,851,851,851,851,8,3,Minor
852,852,852,852,852,5,2,serious
853,853,853,853,853,2,5,serious
854,854,854,854,854,2,1,Critical
