accident_key,incident_id,incident_date,day_of_week,month,year,quarter,driver_age,driver_gender,road_conditions,weather_conditions,vehicle_type,vehicle_make,vehicle_model,accident_severity,number_of_vehicles,number_of_fatalities,is_weekend,season,age_group
136,136,24/11/2021,,,,,65.0,Other,Dry,Rain,Motorcycle,Honda,Model C,Serious,5,5,False,,Senior
137,137,05/11/2021,,,,,51.0,Other,DRY,Snow,SUV,Ford,Model H,MINOR,4,0,False,,Senior
138,138,05/30/2022,,,,,55.0,Male,WET,Windy,Car,Audi,Model A,Minor,1,3,False,,Senior
139,139,08/23/2021,,,,,19.0,Other,Wet,Rain,Van,Volkswagen,Model F,SERIOUS,1,5,False,,Young
140,140,05/08/2024,,,,,53.0,Female,dry,windy,Car,Chevrolet,Model C,SERIOUS,3,3,False,,Senior
141,141,11-20-2021,,,,,,Female,Dry,clear,Car,Volkswagen,Model B,Minor,3,1,False,,
142,142,06/24/2022,,,,,31.0,Female,WET,Rain,Motorcycle,Honda,Model E,Minor,7,3,False,,Adult
143,143,06/08/2021,,,,,50.0,Female,dry,snow,Motorcycle,Ford,Model B,serious,2,4,False,,Middle-aged
144,144,01/08/2024,,,,,44.0,Male,icy,Clear,Sedan,Volkswagen,Model E,Minor,8,4,False,,Middle-aged
145,145,02-05-2023,,,,,52.0,Other,Wet,fog,SUV,Toyota,Model D,minor,4,16,False,,Senior
146,146,12/23/2023,,,,,,Other,Dry,Cloudy,Sedan,Volkswagen,Model H,Minor,4,3,False,,
147,147,08-18-2021,,,,,68.0,Male,wet,cloudy,Pickup,Volkswagen,Model G,serious,8,3,False,,Elderly
148,148,2022-09-22,Thursday,9.0,2022.0,3.0,,Female,icy,fog,Bus,Audi,Model A,critical,7,2,False,Fall,
149,149,05/09/2022,,,,,,Female,ICY,sunny,Sedan,Audi,Model F,serious,6,4,False,,
150,150,09/23/2023,,,,,79.0,Male,wet,Fog,Truck,Volkswagen,Model B,Serious,6,4,False,,Elderly
151,151,2021-09-15,Wednesday,9.0,2021.0,3.0,,Other,WET,Cloudy,SUV,Volkswagen,Model B,CRITICAL,7,5,False,Fall,
152,152,01/09/2023,,,,,,Female,wet,windy,Motorcycle,BMW,Model E,serious,6,4,False,,
153,153,17/12/2023,,,,,,Female,dry,Cloudy,Van,Ford,Model F,Minor,3,19,False,,
154,154,03-10-2022,,,,,80.0,Female,DRY,sunny,Car,Hyundai,Model A,minor,4,1,False,,Elderly
155,155,12/31/2024,,,,,54.0,Female,Icy,sunny,Truck,Chevrolet,Model H,CRITICAL,7,4,False,,Senior
156,156,06/17/2023,,,,,,Other,Wet,Clear,Motorcycle,Hyundai,Model B,Critical,4,1,False,,
157,157,05/12/2021,,,,,,Other,dry,windy,Truck,Nissan,Model D,Critical,8,4,False,,
158,158,2022-03-28,Monday,3.0,2022.0,1.0,,Female,Dry,Storm,Van,Nissan,Model D,Serious,1,3,False,Spring,
159,159,20/12/2024,,,,,26.0,Other,Dry,cloudy,Van,BMW,Model H,CRITICAL,3,2,False,,Adult
160,160,06/03/2021,,,,,,Male,Muddy,snow,Bus,Chevrolet,Model D,Minor,5,3,False,,
161,161,05/03/2022,,,,,69.0,Female,DRY,snow,Bus,Honda,Model F,minor,3,0,False,,Elderly
162,162,15/03/2024,,,,,,Male,Icy,Windy,Truck,Honda,Model E,MINOR,7,1,False,,
163,163,27/08/2023,,,,,19.0,Female,icy,sunny,Car,Ford,Model E,MINOR,5,2,False,,Young
164,164,18/07/2021,,,,,20.0,Female,ICY,sunny,Van,Honda,Model B,Critical,1,4,False,,Young
165,165,04-22-2023,,,,,,Other,ICY,Sunny,Pickup,BMW,Model E,Minor,7,10,False,,
166,166,2024-08-16,Friday,8.0,2024.0,3.0,,Male,muddy,fog,Motorcycle,Ford,Model G,minor,2,5,False,Summer,
167,167,04/05/2023,,,,,34.0,Male,icy,clear,SUV,Nissan,Model B,CRITICAL,4,2,False,,Adult
168,168,2022-01-28,Friday,1.0,2022.0,1.0,,Other,WET,Clear,Car,Ford,Model H,critical,1,3,False,Winter,
169,169,2023-07-08,Saturday,7.0,2023.0,3.0,,Male,DRY,Clear,Van,Chevrolet,Model C,CRITICAL,4,3,True,Summer,
170,170,11/01/2022,,,,,,Female,DRY,Cloudy,Bus,Audi,Model C,CRITICAL,6,4,False,,
171,171,06/04/2021,,,,,121.0,Female,Muddy,Storm,Bus,Volkswagen,Model G,MINOR,2,4,False,,
172,172,04/14/2021,,,,,61.0,Male,wet,sunny,SUV,Audi,Model B,serious,2,1,False,,Senior
173,173,07/11/2021,,,,,35.0,Female,WET,Storm,Bus,Chevrolet,Model B,Minor,1,2,False,,Adult
174,174,09-22-2023,,,,,74.0,Other,Dry,Fog,Truck,Audi,Model C,SERIOUS,2,2,False,,Elderly
175,175,12/04/2021,,,,,79.0,Male,dry,cloudy,Bus,Hyundai,Model B,CRITICAL,5,4,False,,Elderly
176,176,07-21-2023,,,,,,Female,Wet,Storm,Truck,Honda,Model E,CRITICAL,2,0,False,,
177,177,02/13/2024,,,,,,Male,ICY,rain,Motorcycle,Chevrolet,Model G,Minor,4,2,False,,
178,178,03/22/2022,,,,,33.0,Female,Dry,rain,Sedan,Hyundai,Model G,Critical,4,0,False,,Adult
179,179,2022-10-05,Wednesday,10.0,2022.0,4.0,,Male,icy,Sunny,Van,Nissan,Model C,MINOR,7,5,False,Fall,
180,180,04/11/2024,,,,,,Female,dry,rain,Car,Chevrolet,Model C,critical,4,0,False,,
181,181,27/04/2021,,,,,71.0,Other,muddy,rain,Car,Volkswagen,Model C,Critical,7,15,False,,Elderly
182,182,2022-01-16,Sunday,1.0,2022.0,1.0,,Male,dry,clear,Sedan,Chevrolet,Model H,critical,4,4,True,Winter,
183,183,20/05/2021,,,,,174.0,Male,Muddy,clear,Pickup,Volkswagen,Model E,Serious,5,1,False,,
184,184,09/03/2021,,,,,54.0,Male,DRY,clear,Pickup,Hyundai,Model G,MINOR,8,3,False,,Senior
185,185,23/03/2021,,,,,,Male,Icy,Windy,Pickup,Hyundai,Model C,serious,7,3,False,,
186,186,10/04/2024,,,,,32.0,Other,WET,Sunny,Car,Ford,Model A,MINOR,3,3,False,,Adult
187,187,2022-06-19,Sunday,6.0,2022.0,2.0,46.0,Other,wet,clear,Van,BMW,Model B,minor,6,5,True,Summer,Middle-aged
188,188,2022-10-06,Thursday,10.0,2022.0,4.0,,Female,DRY,windy,Bus,Mercedes,Model B,minor,1,0,False,Fall,
189,189,2023-03-22,Wednesday,3.0,2023.0,1.0,60.0,Male,DRY,Fog,Truck,Toyota,Model G,minor,4,4,False,Spring,Senior
190,190,14/08/2024,,,,,,Male,DRY,Sunny,Pickup,BMW,Model A,critical,2,0,False,,
191,191,2021-05-29,Saturday,5.0,2021.0,2.0,23.0,Female,Icy,cloudy,Bus,BMW,Model A,MINOR,8,1,True,Spring,Young
192,192,06/26/2024,,,,,85.0,Male,Wet,Windy,Sedan,Ford,Model D,Critical,4,0,False,,Elderly
193,193,13/03/2022,,,,,72.0,Male,icy,Sunny,Truck,Volkswagen,Model D,minor,2,4,False,,Elderly
194,194,12/16/2022,,,,,,Female,Muddy,sunny,SUV,Nissan,Model A,Minor,6,5,False,,
195,195,11/20/2021,,,,,54.0,Female,Wet,Sunny,Truck,Mercedes,Model G,minor,6,2,False,,Senior
196,196,09/01/2024,,,,,81.0,Female,ICY,fog,Pickup,Audi,Model D,SERIOUS,6,0,False,,Elderly
197,197,2024-09-20,Friday,9.0,2024.0,3.0,27.0,Male,dry,Storm,SUV,Ford,Model B,serious,2,5,False,Fall,Adult
198,198,10-03-2021,,,,,37.0,Male,Icy,fog,Van,Mercedes,Model C,serious,4,1,False,,Middle-aged
199,199,11-15-2021,,,,,36.0,Female,WET,Snow,Sedan,Hyundai,Model B,Minor,6,1,False,,Middle-aged
200,200,02/21/2022,,,,,79.0,Male,Dry,Fog,Motorcycle,Toyota,Model E,CRITICAL,5,1,False,,Elderly
201,201,05/30/2022,,,,,72.0,Female,Dry,rain,Van,Audi,Model A,CRITICAL,7,1,False,,Elderly
202,202,18/05/2023,,,,,29.0,Male,Dry,Windy,Car,Volkswagen,Model E,Minor,2,5,False,,Adult
203,203,11/15/2022,,,,,67.0,Other,wet,windy,Van,Mercedes,Model H,MINOR,2,3,False,,Elderly
204,204,24/06/2023,,,,,79.0,Female,DRY,cloudy,SUV,Hyundai,Model C,SERIOUS,4,0,False,,Elderly
205,205,2021-01-20,Wednesday,1.0,2021.0,1.0,60.0,Female,DRY,sunny,Van,Chevrolet,Model E,Minor,2,25,False,Winter,Senior
206,206,11-16-2024,,,,,,Other,DRY,Storm,Car,BMW,Model G,CRITICAL,2,0,False,,
207,207,07/04/2024,,,,,67.0,Other,Wet,storm,Van,Hyundai,Model D,CRITICAL,6,2,False,,Elderly
208,208,03-27-2021,,,,,81.0,Male,wet,rain,Motorcycle,Mercedes,Model H,SERIOUS,4,3,False,,Elderly
209,209,23/03/2021,,,,,67.0,Male,icy,sunny,Pickup,Nissan,Model D,Minor,6,3,False,,Elderly
210,210,27/05/2022,,,,,,Female,muddy,Fog,Pickup,Audi,Model H,Critical,7,5,False,,
211,211,21/02/2024,,,,,46.0,Male,Muddy,storm,Motorcycle,Volkswagen,Model G,Minor,8,3,False,,Middle-aged
212,212,06/25/2024,,,,,18.0,Male,Dry,snow,Motorcycle,Volkswagen,Model C,Serious,7,3,False,,Young
213,213,11-29-2021,,,,,,Male,Wet,cloudy,Truck,Chevrolet,Model G,Serious,8,5,False,,
214,214,2021-02-20,Saturday,2.0,2021.0,1.0,78.0,Other,Wet,sunny,Truck,BMW,Model F,CRITICAL,6,0,True,Winter,Elderly
215,215,12/11/2022,,,,,25.0,Female,Dry,Windy,SUV,Volkswagen,Model G,serious,7,2,False,,Young
216,216,10/03/2024,,,,,35.0,Male,WET,windy,Bus,Ford,Model A,minor,4,5,False,,Adult
217,217,2024-12-07,Saturday,12.0,2024.0,4.0,71.0,Male,Muddy,windy,Bus,Mercedes,Model A,Serious,1,5,True,Winter,Elderly
218,218,21/03/2021,,,,,,Male,WET,Fog,Truck,Chevrolet,Model H,Serious,6,2,False,,
219,219,08-01-2023,,,,,35.0,Other,muddy,sunny,Motorcycle,Mercedes,Model F,minor,8,5,False,,Adult
220,220,2022-04-02,Saturday,4.0,2022.0,2.0,,Other,WET,sunny,Bus,Audi,Model G,Critical,5,2,True,Spring,
221,221,31/01/2022,,,,,21.0,Female,Wet,fog,Motorcycle,Ford,Model C,MINOR,8,5,False,,Young
222,222,23/05/2021,,,,,24.0,Male,wet,Clear,Pickup,Hyundai,Model H,MINOR,5,3,False,,Young
223,223,08-06-2024,,,,,27.0,Male,Dry,Sunny,SUV,Audi,Model E,Serious,2,5,False,,Adult
224,224,10/11/2022,,,,,38.0,Male,Dry,storm,Motorcycle,Toyota,Model G,Serious,7,3,False,,Middle-aged
225,225,2022-06-19,Sunday,6.0,2022.0,2.0,,Female,muddy,Snow,Pickup,Honda,Model A,critical,5,2,True,Summer,
226,226,2022-06-28,Tuesday,6.0,2022.0,2.0,27.0,Other,wet,Storm,Pickup,Nissan,Model D,CRITICAL,8,2,False,Summer,Adult
227,227,05/06/2024,,,,,,Female,Muddy,fog,Motorcycle,Hyundai,Model H,serious,2,1,False,,
228,228,26/05/2024,,,,,41.0,Female,dry,Snow,Sedan,Honda,Model H,CRITICAL,1,5,False,,Middle-aged
229,229,2024-03-26,Tuesday,3.0,2024.0,1.0,85.0,Female,ICY,Clear,Van,BMW,Model C,critical,4,3,False,Spring,Elderly
230,230,01/04/2021,,,,,70.0,Male,ICY,Clear,Bus,Toyota,Model H,CRITICAL,4,4,False,,Elderly
231,231,01-08-2024,,,,,19.0,Male,Wet,Sunny,Motorcycle,Hyundai,Model A,Minor,4,5,False,,Young
232,232,08/02/2022,,,,,22.0,Male,Muddy,fog,Bus,BMW,Model E,critical,5,2,False,,Young
233,233,09-22-2024,,,,,38.0,Female,muddy,sunny,Motorcycle,Volkswagen,Model B,Critical,1,4,False,,Middle-aged
234,234,13/09/2021,,,,,,Female,wet,Clear,Van,Audi,Model H,MINOR,5,5,False,,
235,235,26/09/2022,,,,,76.0,Other,Muddy,clear,Van,Volkswagen,Model B,minor,7,4,False,,Elderly
236,236,28/11/2024,,,,,82.0,Male,Dry,Cloudy,Motorcycle,Audi,Model A,Critical,5,2,False,,Elderly
237,237,12/05/2023,,,,,38.0,Female,icy,Snow,Sedan,Audi,Model F,Serious,1,1,False,,Middle-aged
238,238,23/12/2021,,,,,66.0,Other,dry,Fog,Car,Volkswagen,Model H,Serious,1,2,False,,Elderly
239,239,28/01/2024,,,,,45.0,Other,muddy,storm,Sedan,Chevrolet,Model D,MINOR,7,3,False,,Middle-aged
240,240,03-07-2022,,,,,68.0,Female,Wet,rain,Motorcycle,Chevrolet,Model B,Minor,1,3,False,,Elderly
241,241,08/11/2023,,,,,,Female,icy,Rain,Car,Volkswagen,Model C,serious,8,1,False,,
242,242,14/12/2021,,,,,27.0,Female,Icy,Clear,Bus,Hyundai,Model E,SERIOUS,1,3,False,,Adult
243,243,21/09/2024,,,,,58.0,Male,Dry,Fog,Van,Mercedes,Model E,Critical,4,4,False,,Senior
244,244,27/04/2022,,,,,66.0,Other,wet,Fog,Sedan,Ford,Model B,Critical,8,1,False,,Elderly
245,245,2022-02-12,Saturday,2.0,2022.0,1.0,,Female,Muddy,Storm,Motorcycle,Hyundai,Model C,Minor,8,24,True,Winter,
246,246,2021-04-05,Monday,4.0,2021.0,2.0,42.0,Other,Muddy,snow,Truck,Mercedes,Model C,critical,7,4,False,Spring,Middle-aged
247,247,09/01/2023,,,,,64.0,Male,ICY,storm,Car,Ford,Model B,minor,3,4,False,,Senior
248,248,07/13/2024,,,,,21.0,Female,Dry,snow,Truck,Audi,Model F,SERIOUS,3,2,False,,Young
249,249,2023-03-30,Thursday,3.0,2023.0,1.0,,Female,Muddy,Windy,SUV,Toyota,Model G,Minor,1,5,False,Spring,
250,250,09-05-2024,,,,,,Male,wet,Clear,SUV,Ford,Model D,SERIOUS,8,4,False,,
251,251,07/08/2021,,,,,,Other,muddy,storm,Truck,Chevrolet,Model D,SERIOUS,3,5,False,,
252,252,26/11/2024,,,,,,Female,Muddy,sunny,Motorcycle,Honda,Model F,serious,3,2,False,,
253,253,26/05/2022,,,,,,Male,WET,clear,Truck,Nissan,Model H,critical,1,5,False,,
254,254,10-01-2021,,,,,43.0,Female,DRY,sunny,Truck,BMW,Model H,serious,3,4,False,,Middle-aged
255,255,05/04/2024,,,,,154.0,Female,Muddy,Rain,Bus,Volkswagen,Model D,serious,5,4,False,,
256,256,10/31/2023,,,,,,Male,ICY,storm,SUV,Audi,Model F,SERIOUS,2,0,False,,
257,257,11/22/2021,,,,,181.0,Female,WET,Storm,Pickup,Hyundai,Model A,Minor,7,2,False,,
258,258,22/05/2022,,,,,,Other,muddy,Snow,Car,Honda,Model D,CRITICAL,2,0,False,,
259,259,04/12/2023,,,,,19.0,Other,dry,Fog,Pickup,Toyota,Model A,Critical,1,5,False,,Young
260,260,2023-06-20,Tuesday,6.0,2023.0,2.0,68.0,Male,muddy,cloudy,Sedan,Chevrolet,Model G,minor,4,1,False,Summer,Elderly
261,261,2022-08-09,Tuesday,8.0,2022.0,3.0,68.0,Female,Wet,Sunny,Bus,Chevrolet,Model H,Serious,7,3,False,Summer,Elderly
262,262,11/19/2022,,,,,30.0,Other,dry,Fog,Car,Volkswagen,Model B,SERIOUS,1,5,False,,Adult
263,263,19/04/2022,,,,,82.0,Other,WET,Cloudy,Bus,Honda,Model B,Serious,8,0,False,,Elderly
264,264,2022-03-15,Tuesday,3.0,2022.0,1.0,,Other,Muddy,rain,Van,Volkswagen,Model A,serious,4,2,False,Spring,
265,265,04/15/2023,,,,,66.0,Female,WET,rain,Van,Hyundai,Model C,MINOR,2,4,False,,Elderly
266,266,05-11-2023,,,,,22.0,Male,muddy,Cloudy,Sedan,Honda,Model A,Serious,1,4,False,,Young
267,267,02/10/2021,,,,,77.0,Female,Wet,snow,Truck,Audi,Model E,critical,8,3,False,,Elderly
268,268,13/01/2021,,,,,,Female,DRY,Rain,Car,Honda,Model G,minor,7,5,False,,
269,269,03/10/2023,,,,,47.0,Male,DRY,Rain,Pickup,Chevrolet,Model E,serious,7,1,False,,Middle-aged
270,270,01/24/2024,,,,,36.0,Other,Muddy,cloudy,Car,Honda,Model H,MINOR,6,4,False,,Middle-aged
271,271,13/07/2022,,,,,82.0,Other,ICY,snow,Motorcycle,Mercedes,Model D,SERIOUS,8,5,False,,Elderly
272,272,11-20-2022,,,,,84.0,Other,wet,sunny,Van,Mercedes,Model D,MINOR,5,2,False,,Elderly
273,273,08/16/2023,,,,,34.0,Female,Wet,Snow,SUV,Toyota,Model C,MINOR,3,5,False,,Adult
274,274,03/18/2023,,,,,73.0,Other,DRY,Snow,Truck,Chevrolet,Model G,Critical,4,10,False,,Elderly
275,275,2023-05-28,Sunday,5.0,2023.0,2.0,,Other,DRY,sunny,Sedan,BMW,Model E,MINOR,8,1,True,Spring,
276,276,2023-08-04,Friday,8.0,2023.0,3.0,48.0,Female,Wet,Clear,Motorcycle,Audi,Model H,Critical,6,2,False,Summer,Middle-aged
277,277,17/06/2022,,,,,,Female,Icy,Cloudy,Van,BMW,Model H,minor,3,0,False,,
278,278,11/01/2022,,,,,37.0,Other,dry,sunny,Van,Hyundai,Model H,critical,3,5,False,,Middle-aged
279,279,14/05/2023,,,,,30.0,Other,WET,Snow,Car,Mercedes,Model F,MINOR,1,0,False,,Adult
280,280,09/02/2021,,,,,57.0,Female,wet,fog,Sedan,BMW,Model D,Minor,3,2,False,,Senior
281,281,2022-12-18,Sunday,12.0,2022.0,4.0,29.0,Other,Dry,clear,Car,Mercedes,Model G,critical,5,15,True,Winter,Adult
282,282,05-21-2021,,,,,39.0,Female,WET,Cloudy,Pickup,BMW,Model H,minor,7,0,False,,Middle-aged
283,283,2022-05-22,Sunday,5.0,2022.0,2.0,53.0,Male,WET,fog,Truck,Hyundai,Model F,Minor,6,2,True,Spring,Senior
284,284,11/02/2021,,,,,27.0,Female,Muddy,Clear,Van,Ford,Model E,Critical,3,0,False,,Adult
285,285,08/28/2023,,,,,,Male,wet,storm,Truck,Ford,Model C,MINOR,1,3,False,,
286,286,03/12/2024,,,,,78.0,Male,dry,storm,Bus,Mercedes,Model E,Serious,5,5,False,,Elderly
287,287,05/25/2024,,,,,74.0,Female,dry,windy,Van,BMW,Model E,CRITICAL,2,5,False,,Elderly
288,288,02/12/2021,,,,,33.0,Female,Icy,Storm,Truck,Toyota,Model D,serious,7,1,False,,Adult
289,289,02-22-2021,,,,,64.0,Other,icy,clear,Car,Honda,Model H,Minor,7,4,False,,Senior
290,290,02/08/2023,,,,,34.0,Female,DRY,Sunny,Sedan,Audi,Model F,Critical,6,2,False,,Adult
291,291,15/11/2024,,,,,58.0,Male,Icy,Cloudy,SUV,Chevrolet,Model D,critical,7,5,False,,Senior
292,292,11/28/2024,,,,,82.0,Female,dry,Cloudy,Van,Honda,Model D,SERIOUS,3,0,False,,Elderly
293,293,09/05/2021,,,,,23.0,Male,ICY,Fog,Van,Volkswagen,Model G,CRITICAL,1,1,False,,Young
294,294,28/12/2023,,,,,49.0,Male,muddy,cloudy,Van,Audi,Model C,SERIOUS,7,4,False,,Middle-aged
295,295,03/11/2023,,,,,37.0,Female,Muddy,Rain,Car,Audi,Model A,Minor,7,15,False,,Middle-aged
296,296,11/05/2023,,,,,38.0,Other,Muddy,Storm,Bus,Honda,Model G,minor,2,1,False,,Middle-aged
297,297,01-12-2023,,,,,46.0,Male,wet,clear,Bus,Chevrolet,Model C,MINOR,2,2,False,,Middle-aged
298,298,2023-06-11,Sunday,6.0,2023.0,2.0,29.0,Other,Muddy,clear,Van,Audi,Model B,CRITICAL,4,3,True,Summer,Adult
299,299,05/12/2023,,,,,77.0,Male,Muddy,Clear,Car,Audi,Model H,MINOR,5,3,False,,Elderly
300,300,01-08-2024,,,,,,Female,Wet,Sunny,Sedan,Hyundai,Model H,Minor,3,5,False,,
301,301,04-28-2024,,,,,,Female,Muddy,Rain,Truck,Chevrolet,Model E,critical,7,5,False,,
302,302,06-27-2021,,,,,,Female,WET,Storm,Sedan,Audi,Model F,Minor,8,2,False,,
303,303,13/03/2024,,,,,73.0,Other,Dry,sunny,Truck,Toyota,Model G,MINOR,7,4,False,,Elderly
304,304,28/02/2021,,,,,,Male,Wet,windy,Motorcycle,Mercedes,Model B,minor,1,5,False,,
305,305,2023-09-26,Tuesday,9.0,2023.0,3.0,80.0,Male,wet,Windy,Pickup,Audi,Model C,Minor,4,2,False,Fall,Elderly
306,306,06-14-2022,,,,,,Male,Icy,windy,Bus,Volkswagen,Model D,MINOR,5,0,False,,
307,307,07/20/2022,,,,,76.0,Male,DRY,snow,SUV,Toyota,Model D,MINOR,8,3,False,,Elderly
308,308,05-10-2022,,,,,,Female,muddy,Fog,Van,BMW,Model C,minor,4,4,False,,
309,309,11/15/2024,,,,,,Male,Icy,Fog,Sedan,Honda,Model G,MINOR,6,5,False,,
310,310,2021-02-05,Friday,2.0,2021.0,1.0,58.0,Male,Dry,Storm,Van,Mercedes,Model C,Minor,5,1,False,Winter,Senior
311,311,30/03/2022,,,,,66.0,Male,dry,Storm,Pickup,Hyundai,Model C,critical,7,0,False,,Elderly
312,312,09/21/2024,,,,,,Male,WET,clear,Motorcycle,Chevrolet,Model E,Minor,7,2,False,,
313,313,05/22/2023,,,,,78.0,Female,Dry,Storm,Pickup,Nissan,Model B,Critical,5,2,False,,Elderly
314,314,19/07/2023,,,,,,Male,ICY,clear,Bus,Audi,Model B,CRITICAL,7,5,False,,
315,315,05/09/2021,,,,,,Male,WET,Cloudy,Pickup,Nissan,Model B,Serious,3,3,False,,
316,316,01/03/2024,,,,,,Female,ICY,storm,Truck,Toyota,Model A,MINOR,5,3,False,,
317,317,09-19-2023,,,,,50.0,Male,Icy,Clear,Motorcycle,Honda,Model E,serious,4,1,False,,Middle-aged
318,318,07/05/2024,,,,,26.0,Male,Wet,rain,Pickup,BMW,Model D,Minor,5,0,False,,Adult
319,319,02/02/2022,,,,,75.0,Other,Wet,clear,SUV,Hyundai,Model C,CRITICAL,8,1,False,,Elderly
320,320,2022-09-12,Monday,9.0,2022.0,3.0,51.0,Male,DRY,sunny,Motorcycle,Toyota,Model C,Serious,7,2,False,Fall,Senior
321,321,2023-12-30,Saturday,12.0,2023.0,4.0,,Other,Dry,Cloudy,Motorcycle,Volkswagen,Model D,Minor,3,1,True,Winter,
322,322,04-04-2021,,,,,,Female,Icy,Clear,Bus,Chevrolet,Model F,minor,3,5,False,,
323,323,09/16/2021,,,,,56.0,Male,muddy,storm,Bus,Nissan,Model D,Minor,6,3,False,,Senior
324,324,01/26/2021,,,,,,Male,muddy,Clear,Sedan,Volkswagen,Model G,Serious,4,3,False,,
325,325,13/01/2022,,,,,78.0,Female,muddy,sunny,Car,Hyundai,Model B,Critical,2,5,False,,Elderly
