incident_id,incident_date,driver_age,road_conditions,weather_conditions,accident_severity,number_of_vehicles,number_of_fatalities
177,02/13/2024,,ICY,rain,Minor,4,2
178,03/22/2022,33.0,Dry,rain,Critical,4,0
179,2022-10-05,,icy,Sunny,MINOR,7,5
180,04/11/2024,,dry,rain,critical,4,0
181,27/04/2021,71.0,muddy,rain,Critical,7,15
182,2022-01-16,,dry,clear,critical,4,4
183,20/05/2021,174.0,Muddy,clear,Serious,5,1
184,09/03/2021,54.0,DRY,clear,MINOR,8,3
185,23/03/2021,,Icy,Windy,serious,7,3
186,10/04/2024,32.0,WET,Sunny,MINOR,3,3
187,2022-06-19,46.0,wet,clear,minor,6,5
188,2022-10-06,,DRY,windy,minor,1,0
189,2023-03-22,60.0,DRY,Fog,minor,4,4
190,14/08/2024,,DRY,Sunny,critical,2,0
191,2021-05-29,23.0,Icy,cloudy,MINOR,8,1
192,06/26/2024,85.0,Wet,Windy,Critical,4,0
193,13/03/2022,72.0,icy,Sunny,minor,2,4
194,12/16/2022,,Muddy,sunny,Minor,6,5
195,11/20/2021,54.0,Wet,Sunny,minor,6,2
196,09/01/2024,81.0,ICY,fog,SERIOUS,6,0
197,2024-09-20,27.0,dry,Storm,serious,2,5
198,10-03-2021,37.0,Icy,fog,serious,4,1
199,11-15-2021,36.0,WET,Snow,Minor,6,1
200,02/21/2022,79.0,Dry,Fog,CRITICAL,5,1
201,05/30/2022,72.0,Dry,rain,CRITICAL,7,1
202,18/05/2023,29.0,Dry,Windy,Minor,2,5
203,11/15/2022,67.0,wet,windy,MINOR,2,3
204,24/06/2023,79.0,DRY,cloudy,SERIOUS,4,0
205,2021-01-20,60.0,DRY,sunny,Minor,2,25
206,11-16-2024,,DRY,Storm,CRITICAL,2,0
207,07/04/2024,67.0,Wet,storm,CRITICAL,6,2
208,03-27-2021,81.0,wet,rain,SERIOUS,4,3
209,23/03/2021,67.0,icy,sunny,Minor,6,3
210,27/05/2022,,muddy,Fog,Critical,7,5
211,21/02/2024,46.0,Muddy,storm,Minor,8,3
212,06/25/2024,18.0,Dry,snow,Serious,7,3
213,11-29-2021,,Wet,cloudy,Serious,8,5
214,2021-02-20,78.0,Wet,sunny,CRITICAL,6,0
215,12/11/2022,25.0,Dry,Windy,serious,7,2
216,10/03/2024,35.0,WET,windy,minor,4,5
217,2024-12-07,71.0,Muddy,windy,Serious,1,5
218,21/03/2021,,WET,Fog,Serious,6,2
219,08-01-2023,35.0,muddy,sunny,minor,8,5
220,2022-04-02,,WET,sunny,Critical,5,2
221,31/01/2022,21.0,Wet,fog,MINOR,8,5
222,23/05/2021,24.0,wet,Clear,MINOR,5,3
223,08-06-2024,27.0,Dry,Sunny,Serious,2,5
224,10/11/2022,38.0,Dry,storm,Serious,7,3
225,2022-06-19,,muddy,Snow,critical,5,2
226,2022-06-28,27.0,wet,Storm,CRITICAL,8,2
227,05/06/2024,,Muddy,fog,serious,2,1
228,26/05/2024,41.0,dry,Snow,CRITICAL,1,5
229,2024-03-26,85.0,ICY,Clear,critical,4,3
230,01/04/2021,70.0,ICY,Clear,CRITICAL,4,4
231,01-08-2024,19.0,Wet,Sunny,Minor,4,5
232,08/02/2022,22.0,Muddy,fog,critical,5,2
233,09-22-2024,38.0,muddy,sunny,Critical,1,4
234,13/09/2021,,wet,Clear,MINOR,5,5
235,26/09/2022,76.0,Muddy,clear,minor,7,4
236,28/11/2024,82.0,Dry,Cloudy,Critical,5,2
237,12/05/2023,38.0,icy,Snow,Serious,1,1
238,23/12/2021,66.0,dry,Fog,Serious,1,2
239,28/01/2024,45.0,muddy,storm,MINOR,7,3
240,03-07-2022,68.0,Wet,rain,Minor,1,3
241,08/11/2023,,icy,Rain,serious,8,1
242,14/12/2021,27.0,Icy,Clear,SERIOUS,1,3
243,21/09/2024,58.0,Dry,Fog,Critical,4,4
244,27/04/2022,66.0,wet,Fog,Critical,8,1
245,2022-02-12,,Muddy,Storm,Minor,8,24
246,2021-04-05,42.0,Muddy,snow,critical,7,4
247,09/01/2023,64.0,ICY,storm,minor,3,4
248,07/13/2024,21.0,Dry,snow,SERIOUS,3,2
249,2023-03-30,,Muddy,Windy,Minor,1,5
250,09-05-2024,,wet,Clear,SERIOUS,8,4
251,07/08/2021,,muddy,storm,SERIOUS,3,5
252,26/11/2024,,Muddy,sunny,serious,3,2
253,26/05/2022,,WET,clear,critical,1,5
254,10-01-2021,43.0,DRY,sunny,serious,3,4
255,05/04/2024,154.0,Muddy,Rain,serious,5,4
256,10/31/2023,,ICY,storm,SERIOUS,2,0
257,11/22/2021,181.0,WET,Storm,Minor,7,2
258,22/05/2022,,muddy,Snow,CRITICAL,2,0
259,04/12/2023,19.0,dry,Fog,Critical,1,5
260,2023-06-20,68.0,muddy,cloudy,minor,4,1
261,2022-08-09,68.0,Wet,Sunny,Serious,7,3
262,11/19/2022,30.0,dry,Fog,SERIOUS,1,5
263,19/04/2022,82.0,WET,Cloudy,Serious,8,0
264,2022-03-15,,Muddy,rain,serious,4,2
265,04/15/2023,66.0,WET,rain,MINOR,2,4
266,05-11-2023,22.0,muddy,Cloudy,Serious,1,4
267,02/10/2021,77.0,Wet,snow,critical,8,3
268,13/01/2021,,DRY,Rain,minor,7,5
269,03/10/2023,47.0,DRY,Rain,serious,7,1
270,01/24/2024,36.0,Muddy,cloudy,MINOR,6,4
271,13/07/2022,82.0,ICY,snow,SERIOUS,8,5
272,11-20-2022,84.0,wet,sunny,MINOR,5,2
273,08/16/2023,34.0,Wet,Snow,MINOR,3,5
274,03/18/2023,73.0,DRY,Snow,Critical,4,10
275,2023-05-28,,DRY,sunny,MINOR,8,1
276,2023-08-04,48.0,Wet,Clear,Critical,6,2
277,17/06/2022,,Icy,Cloudy,minor,3,0
278,11/01/2022,37.0,dry,sunny,critical,3,5
279,14/05/2023,30.0,WET,Snow,MINOR,1,0
280,09/02/2021,57.0,wet,fog,Minor,3,2
281,2022-12-18,29.0,Dry,clear,critical,5,15
282,05-21-2021,39.0,WET,Cloudy,minor,7,0
283,2022-05-22,53.0,WET,fog,Minor,6,2
284,11/02/2021,27.0,Muddy,Clear,Critical,3,0
285,08/28/2023,,wet,storm,MINOR,1,3
286,03/12/2024,78.0,dry,storm,Serious,5,5
287,05/25/2024,74.0,dry,windy,CRITICAL,2,5
288,02/12/2021,33.0,Icy,Storm,serious,7,1
289,02-22-2021,64.0,icy,clear,Minor,7,4
290,02/08/2023,34.0,DRY,Sunny,Critical,6,2
291,15/11/2024,58.0,Icy,Cloudy,critical,7,5
292,11/28/2024,82.0,dry,Cloudy,SERIOUS,3,0
293,09/05/2021,23.0,ICY,Fog,CRITICAL,1,1
294,28/12/2023,49.0,muddy,cloudy,SERIOUS,7,4
295,03/11/2023,37.0,Muddy,Rain,Minor,7,15
296,11/05/2023,38.0,Muddy,Storm,minor,2,1
297,01-12-2023,46.0,wet,clear,MINOR,2,2
298,2023-06-11,29.0,Muddy,clear,CRITICAL,4,3
299,05/12/2023,77.0,Muddy,Clear,MINOR,5,3
300,01-08-2024,,Wet,Sunny,Minor,3,5
301,04-28-2024,,Muddy,Rain,critical,7,5
302,06-27-2021,,WET,Storm,Minor,8,2
303,13/03/2024,73.0,Dry,sunny,MINOR,7,4
304,28/02/2021,,Wet,windy,minor,1,5
305,2023-09-26,80.0,wet,Windy,Minor,4,2
306,06-14-2022,,Icy,windy,MINOR,5,0
307,07/20/2022,76.0,DRY,snow,MINOR,8,3
308,05-10-2022,,muddy,Fog,minor,4,4
309,11/15/2024,,Icy,Fog,MINOR,6,5
310,2021-02-05,58.0,Dry,Storm,Minor,5,1
311,30/03/2022,66.0,dry,Storm,critical,7,0
312,09/21/2024,,WET,clear,Minor,7,2
313,05/22/2023,78.0,Dry,Storm,Critical,5,2
314,19/07/2023,,ICY,clear,CRITICAL,7,5
315,05/09/2021,,WET,Cloudy,Serious,3,3
316,01/03/2024,,ICY,storm,MINOR,5,3
317,09-19-2023,50.0,Icy,Clear,serious,4,1
318,07/05/2024,26.0,Wet,rain,Minor,5,0
319,02/02/2022,75.0,Wet,clear,CRITICAL,8,1
320,2022-09-12,51.0,DRY,sunny,Serious,7,2
321,2023-12-30,,Dry,Cloudy,Minor,3,1
322,04-04-2021,,Icy,Clear,minor,3,5
323,09/16/2021,56.0,muddy,storm,Minor,6,3
324,01/26/2021,,muddy,Clear,Serious,4,3
325,13/01/2022,78.0,muddy,sunny,Critical,2,5
326,2023-09-06,73.0,Dry,Snow,Minor,2,3
327,14/05/2021,67.0,muddy,rain,minor,5,0
328,13/07/2024,43.0,muddy,sunny,Minor,6,3
329,27/02/2024,,muddy,Sunny,Critical,1,18
330,2022-05-24,59.0,wet,clear,critical,5,4
331,05/03/2023,58.0,Wet,Snow,Critical,6,5
332,12/07/2023,,ICY,Rain,Minor,4,1
333,20/04/2024,81.0,Wet,clear,serious,4,11
334,2024-06-25,70.0,dry,sunny,critical,4,1
335,23/07/2021,75.0,icy,cloudy,Critical,4,3
336,09/03/2022,75.0,muddy,rain,minor,4,1
337,2022-05-07,22.0,Muddy,Cloudy,SERIOUS,6,4
338,2021-06-03,,Muddy,clear,critical,6,0
339,04/17/2023,39.0,ICY,windy,SERIOUS,3,3
340,20/04/2022,44.0,Muddy,Cloudy,critical,8,2
341,2023-07-19,19.0,ICY,Snow,minor,2,5
342,04/24/2022,56.0,Muddy,windy,Serious,7,4
343,16/09/2024,33.0,WET,Windy,Critical,4,4
344,08-24-2021,76.0,Icy,Clear,MINOR,1,1
345,2021-10-19,72.0,Wet,storm,Minor,7,5
346,12-06-2021,32.0,Wet,cloudy,Minor,6,3
347,08/15/2022,65.0,WET,Cloudy,CRITICAL,1,0
348,04/05/2023,,Dry,sunny,MINOR,1,1
349,06-14-2021,66.0,ICY,rain,Minor,1,1
350,21/05/2024,73.0,ICY,Cloudy,Critical,3,4
351,10-12-2024,30.0,muddy,Sunny,SERIOUS,6,4
352,10-08-2024,31.0,Muddy,Rain,critical,1,2
353,12-25-2021,,wet,snow,SERIOUS,4,0
354,07/01/2022,,muddy,storm,serious,5,5
355,10/05/2023,30.0,ICY,storm,critical,1,1
356,10/20/2022,22.0,Dry,storm,serious,3,1
357,11/21/2024,45.0,Wet,Sunny,serious,7,2
358,2024-02-01,,ICY,sunny,Critical,6,5
359,30/06/2021,43.0,DRY,Sunny,Minor,8,1
360,04/08/2023,62.0,wet,Rain,critical,3,1
361,17/01/2024,70.0,wet,Sunny,serious,1,2
362,11/28/2023,68.0,ICY,fog,CRITICAL,6,2
363,2021-04-16,,Icy,rain,serious,5,3
364,2024-01-30,54.0,Icy,sunny,serious,1,1
365,08/13/2022,57.0,Wet,Fog,critical,3,0
366,14/07/2024,71.0,WET,rain,minor,2,2
367,21/11/2021,173.0,icy,Storm,CRITICAL,4,0
368,2023-04-16,,ICY,rain,Serious,8,5
369,21/08/2021,,ICY,Cloudy,Serious,7,0
370,11/12/2021,84.0,dry,Sunny,CRITICAL,3,5
371,07/14/2022,60.0,Muddy,Fog,Minor,6,2
372,25/07/2023,,WET,Rain,CRITICAL,8,4
373,05-12-2024,68.0,ICY,Fog,Serious,8,0
374,07/20/2022,,icy,sunny,CRITICAL,8,5
375,06/11/2023,72.0,WET,cloudy,MINOR,1,1
376,09-04-2022,,Dry,snow,critical,4,4
377,11/01/2021,40.0,ICY,snow,critical,1,0
378,01-18-2024,38.0,Icy,Sunny,CRITICAL,6,0
379,2024-11-29,34.0,Dry,fog,minor,1,3
380,2023-02-24,68.0,Dry,sunny,serious,2,4
381,2023-04-22,51.0,wet,storm,serious,4,5
382,08/27/2023,59.0,ICY,sunny,critical,4,4
383,09/21/2024,,Dry,Rain,MINOR,6,2
384,2021-03-17,,DRY,Rain,MINOR,7,3
385,23/04/2024,37.0,WET,Windy,Critical,2,1
386,2023-06-21,,icy,Storm,Critical,3,3
387,2023-07-25,28.0,WET,storm,critical,1,4
388,10/23/2021,136.0,muddy,sunny,Critical,5,0
389,20/08/2023,63.0,Wet,Windy,Serious,1,3
390,06-30-2024,,Icy,storm,SERIOUS,8,4
391,13/10/2024,42.0,dry,snow,SERIOUS,1,0
392,10/11/2022,66.0,DRY,snow,Minor,3,1
393,2024-01-14,53.0,Muddy,sunny,critical,1,0
394,2021-05-21,,Wet,rain,MINOR,2,3
395,11-02-2024,,wet,Storm,MINOR,2,3
396,06-08-2023,,Muddy,rain,Minor,4,3
397,07-25-2021,32.0,DRY,rain,minor,6,0
398,05/04/2021,31.0,Wet,windy,MINOR,7,4
399,05/01/2023,,muddy,storm,Serious,5,3
400,12/24/2023,27.0,muddy,Snow,MINOR,8,3
401,2021-12-25,44.0,Wet,Fog,Critical,1,2
402,23/02/2023,20.0,Icy,Cloudy,serious,1,5
403,2024-04-09,27.0,ICY,Storm,CRITICAL,3,5
404,08-03-2023,,WET,sunny,MINOR,6,1
405,08/11/2023,75.0,muddy,Storm,Minor,2,2
406,06/24/2023,19.0,Muddy,Windy,SERIOUS,5,0
407,05/19/2023,22.0,wet,Cloudy,Minor,4,1
408,27/02/2023,,Icy,snow,serious,2,22
409,02-21-2023,18.0,Muddy,storm,SERIOUS,8,4
410,2022-08-28,,muddy,clear,Critical,6,3
411,10/09/2024,42.0,DRY,Cloudy,MINOR,8,0
412,11-05-2024,84.0,ICY,Sunny,MINOR,7,5
413,10-15-2023,64.0,ICY,Snow,Minor,4,5
414,17/04/2022,,Icy,rain,Critical,7,0
415,2024-07-27,,WET,Clear,minor,3,2
416,05-29-2022,34.0,DRY,sunny,critical,8,3
417,10/08/2021,29.0,Muddy,rain,Serious,3,0
418,25/09/2022,55.0,muddy,snow,critical,1,0
419,18/01/2023,73.0,WET,Clear,CRITICAL,7,4
420,28/08/2022,42.0,muddy,Cloudy,critical,6,1
421,2022-02-16,53.0,muddy,snow,Minor,8,5
422,10/01/2024,57.0,Dry,fog,Serious,5,5
423,10/25/2023,,wet,sunny,critical,4,5
424,14/09/2023,,Dry,Windy,minor,2,5
425,11/25/2022,75.0,Muddy,Snow,Minor,6,1
426,04-08-2022,58.0,icy,windy,Serious,6,4
427,02/16/2024,72.0,dry,Fog,SERIOUS,3,0
428,2024-01-04,,Wet,Sunny,minor,7,1
429,01/25/2023,26.0,wet,Storm,Serious,8,5
430,31/07/2024,83.0,Wet,windy,MINOR,8,1
431,04-24-2022,85.0,Muddy,windy,SERIOUS,1,2
432,03/11/2022,143.0,DRY,Storm,Serious,1,1
433,05-10-2021,41.0,Wet,Cloudy,critical,4,0
434,22/08/2024,65.0,icy,Rain,MINOR,3,2
435,03/18/2021,33.0,DRY,storm,Minor,6,0
436,2024-01-06,,Dry,fog,critical,8,4
437,07-19-2023,45.0,WET,sunny,CRITICAL,5,1
438,01/12/2024,47.0,ICY,Sunny,SERIOUS,3,1
439,04/30/2023,45.0,muddy,Cloudy,Minor,4,4
440,2022-07-27,53.0,dry,cloudy,critical,4,5
441,2023-01-29,27.0,Icy,snow,Critical,3,5
442,06/30/2023,73.0,WET,Snow,Critical,4,0
443,11/05/2024,43.0,wet,Clear,serious,3,5
444,05/05/2021,,muddy,Windy,serious,2,3
445,09/08/2021,155.0,ICY,Windy,Serious,3,1
446,03/11/2022,39.0,ICY,storm,minor,7,5
447,2022-11-15,48.0,dry,Cloudy,minor,3,0
448,15/09/2021,18.0,icy,Windy,critical,4,5
449,2024-02-10,69.0,DRY,Cloudy,serious,8,1
450,19/03/2022,,icy,fog,SERIOUS,7,4
451,10/30/2021,61.0,Wet,storm,serious,4,19
452,10-24-2021,30.0,WET,snow,Minor,1,3
453,14/08/2021,56.0,Muddy,clear,MINOR,1,0
454,01/31/2021,69.0,muddy,fog,serious,8,2
455,2021-02-02,,muddy,windy,critical,8,2
456,2021-04-18,24.0,muddy,sunny,minor,7,0
457,05/13/2023,76.0,DRY,Sunny,Serious,2,3
458,12/01/2023,33.0,Icy,Clear,critical,8,3
459,2023-10-29,31.0,wet,Storm,SERIOUS,1,1
460,2024-06-13,,muddy,Storm,Minor,3,2
461,09-11-2024,,Dry,fog,critical,4,0
462,05/05/2021,,Muddy,Storm,SERIOUS,1,5
463,08/10/2021,,DRY,Storm,Serious,1,4
464,15/06/2021,73.0,muddy,sunny,Serious,2,1
465,09/16/2021,,wet,fog,CRITICAL,7,0
466,10/28/2022,,Muddy,Cloudy,CRITICAL,7,0
467,02/11/2023,18.0,DRY,Clear,MINOR,6,4
468,2024-12-08,51.0,DRY,Fog,MINOR,2,4
469,09-02-2024,126.0,ICY,Windy,serious,3,5
470,03/17/2022,60.0,dry,rain,MINOR,7,2
471,07/18/2023,66.0,wet,clear,minor,4,3
472,03/10/2022,35.0,Muddy,sunny,MINOR,8,1
473,11/09/2021,58.0,DRY,Fog,critical,2,2
474,2021-06-24,70.0,Dry,Fog,MINOR,8,0
475,17/07/2021,84.0,wet,snow,Serious,1,3
476,09/24/2021,80.0,WET,cloudy,CRITICAL,4,0
477,07/11/2022,79.0,ICY,storm,minor,4,3
478,24/09/2024,,wet,Sunny,minor,1,0
479,04/16/2021,28.0,Icy,Windy,critical,2,5
480,29/03/2024,49.0,Wet,clear,SERIOUS,1,3
481,2023-09-15,44.0,WET,Clear,serious,8,3
482,08/10/2021,81.0,Dry,Sunny,CRITICAL,6,2
483,07-25-2022,,Icy,Windy,SERIOUS,4,1
484,06/27/2024,,ICY,cloudy,MINOR,5,3
485,09/09/2024,,icy,windy,CRITICAL,5,3
486,01-05-2022,31.0,Wet,Clear,Minor,8,0
487,2022-12-20,85.0,DRY,storm,critical,3,3
488,21/10/2021,57.0,Icy,storm,SERIOUS,7,0
489,10/18/2021,82.0,Icy,clear,Minor,1,4
490,2023-12-23,,icy,Snow,Critical,1,2
491,10/05/2023,,Muddy,Windy,minor,3,0
492,10/01/2022,75.0,dry,Storm,SERIOUS,3,1
493,23/06/2021,69.0,muddy,windy,SERIOUS,8,5
494,2024-06-19,,DRY,Sunny,Serious,8,2
495,06/17/2021,57.0,wet,Sunny,CRITICAL,3,0
496,25/06/2023,31.0,ICY,Windy,serious,4,3
497,2023-11-16,,ICY,clear,minor,8,1
498,2023-05-31,48.0,Icy,windy,Minor,6,1
499,10-20-2024,,Dry,cloudy,Serious,8,0
500,2021-04-04,78.0,ICY,fog,Critical,1,5
501,2024-05-12,51.0,Muddy,clear,Critical,8,3
502,23/02/2022,,dry,Storm,Minor,4,0
503,09/10/2021,45.0,wet,cloudy,critical,3,1
504,2021-09-03,,ICY,Snow,MINOR,1,0
505,2023-06-01,24.0,DRY,rain,SERIOUS,8,2
506,18/02/2023,24.0,ICY,clear,minor,4,0
507,02/19/2024,72.0,ICY,Cloudy,minor,6,4
508,03/28/2021,,dry,storm,minor,8,1
509,10-04-2022,,Muddy,Windy,Critical,4,3
510,06/05/2023,,Dry,snow,SERIOUS,6,0
511,2022-10-28,84.0,DRY,clear,minor,3,3
512,06/19/2024,49.0,Icy,Windy,Critical,8,4
513,14/06/2023,24.0,wet,Fog,minor,6,3
514,21/04/2024,48.0,DRY,rain,MINOR,1,3
515,28/09/2022,,WET,Storm,serious,3,1
516,2021-12-11,,Icy,Cloudy,serious,1,4
517,2024-07-20,,ICY,Storm,Minor,5,1
518,2023-11-11,68.0,WET,clear,Critical,2,18
519,12/17/2022,52.0,Muddy,Sunny,CRITICAL,8,3
520,2021-10-30,44.0,Muddy,cloudy,Critical,6,5
521,27/10/2021,54.0,Wet,clear,critical,2,5
522,11/10/2021,82.0,DRY,Fog,minor,2,0
523,07-10-2024,57.0,Dry,Sunny,Critical,6,4
524,07/09/2023,39.0,Muddy,sunny,MINOR,3,5
525,07/03/2024,41.0,Wet,Storm,SERIOUS,8,5
526,2023-06-20,19.0,Wet,Sunny,MINOR,5,4
527,06/25/2023,20.0,wet,Fog,Critical,1,5
528,22/12/2022,,Wet,sunny,serious,4,0
529,2023-07-15,19.0,dry,Cloudy,Critical,1,4
530,26/01/2023,18.0,Wet,Rain,SERIOUS,4,0
531,07/04/2021,32.0,Muddy,sunny,SERIOUS,1,2
532,02/10/2024,,dry,Storm,minor,6,5
533,16/03/2024,,icy,Clear,Critical,5,1
534,09/02/2023,47.0,muddy,Windy,minor,8,0
535,05/12/2022,36.0,Muddy,Rain,CRITICAL,4,1
536,2024-08-16,60.0,muddy,Storm,critical,8,1
537,05/23/2022,50.0,Icy,Storm,Critical,8,0
538,2024-06-02,76.0,dry,clear,Minor,8,0
539,03/02/2023,,DRY,Rain,Critical,7,0
540,24/11/2022,84.0,Wet,Sunny,minor,3,4
541,16/07/2024,79.0,dry,sunny,Critical,1,3
542,13/07/2021,,dry,cloudy,Minor,8,3
543,06-01-2022,20.0,WET,cloudy,Serious,1,3
544,11/04/2021,,DRY,fog,serious,8,5
545,12-18-2022,36.0,Dry,Cloudy,Minor,4,5
546,09/22/2021,193.0,icy,snow,Serious,3,2
547,11/02/2023,64.0,Icy,Sunny,MINOR,3,3
548,09-19-2021,,dry,rain,minor,6,4
549,04/11/2024,,Dry,Rain,minor,7,4
550,05/10/2024,31.0,wet,Fog,Critical,6,2
551,01/13/2023,75.0,icy,windy,CRITICAL,6,1
552,2023-09-23,40.0,ICY,clear,serious,6,0
553,2021-10-09,60.0,ICY,snow,serious,6,4
554,29/08/2022,53.0,Wet,windy,Critical,6,2
555,01/11/2024,186.0,DRY,cloudy,minor,5,2
556,11/21/2022,33.0,icy,Cloudy,serious,3,0
557,2021-11-12,62.0,Dry,fog,SERIOUS,6,4
558,11/19/2024,81.0,Icy,storm,Serious,8,0
559,2023-06-16,37.0,icy,snow,CRITICAL,3,3
560,17/01/2023,38.0,wet,Sunny,Critical,3,5
561,06-29-2023,55.0,wet,Clear,Minor,2,5
562,25/04/2022,,WET,Windy,SERIOUS,5,1
563,19/08/2023,,Icy,fog,critical,6,3
564,10/21/2024,24.0,wet,Sunny,critical,1,0
565,08/01/2022,165.0,Wet,Rain,Serious,4,3
566,11/28/2021,152.0,Muddy,Sunny,critical,7,2
567,2022-05-28,,Wet,rain,serious,8,3
568,09/12/2023,82.0,DRY,Rain,critical,1,5
569,23/11/2023,37.0,icy,fog,Critical,5,3
570,11/25/2021,36.0,muddy,Storm,MINOR,4,4
571,2023-06-15,28.0,Dry,Storm,Minor,5,3
572,03-31-2022,165.0,dry,Cloudy,SERIOUS,8,4
573,2023-04-30,,wet,fog,critical,3,0
574,26/10/2023,69.0,wet,rain,MINOR,4,1
575,17/06/2021,51.0,Dry,Sunny,Serious,3,5
576,07-22-2021,40.0,Muddy,fog,minor,8,5
577,2021-10-09,59.0,DRY,Storm,CRITICAL,1,4
578,26/08/2023,43.0,DRY,clear,minor,8,4
579,12-15-2024,43.0,Wet,Cloudy,Serious,1,1
580,02/08/2021,77.0,WET,cloudy,Minor,4,0
581,31/05/2024,73.0,WET,rain,Minor,4,5
582,2022-08-14,,Wet,Windy,MINOR,6,3
583,2021-09-07,82.0,ICY,clear,serious,5,3
584,05/10/2023,77.0,Icy,storm,minor,6,5
585,21/10/2023,70.0,wet,Windy,minor,5,0
586,11/22/2023,21.0,Muddy,Rain,Critical,6,5
587,04/01/2021,35.0,ICY,windy,Critical,3,0
588,2023-05-04,49.0,Muddy,Sunny,MINOR,4,1
589,2024-09-30,55.0,ICY,Cloudy,Critical,1,4
590,2023-01-09,,muddy,windy,Critical,5,2
591,12/14/2023,18.0,Dry,sunny,SERIOUS,8,0
592,02/11/2021,84.0,ICY,storm,SERIOUS,5,0
